auct_id	item_leaf_category_name	listing_title	listing_subtitle	listing_start_date	listing_end_date	listing_durtn_days	listing_type_code	feedback_score_at_listing_time	start_price	buy_it_now_price	buy_it_now_listed_flag	bold_fee_flag	featured_fee_flag	category_featured_fee_flag	gallery_fee_flag	gallery_featured_fee_flag	ipix_featured_fee_flag	reserve_fee_flag	highlight_fee_flag	schedule_fee_flag	border_fee_flag	qty_available_per_listing	category_avg_gms
00038	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Blau	IPod Mini blau 4 GB (wie Neu)		09/25/2005	10/02/2005	7	1	169	1.00	0.00	N	N	N	N	N	N	N	N	N	Y	N	1	161.512
00041	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber	IPOD Mini 4GB, 2 Monate alt, wie neu, inkl. Rechnung!		09/24/2005	10/01/2005	7	1	93	1.00	0.00	N	N	N	N	N	N	N	N	N	Y	N	1	167.977
00042	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Gold	## iPod 6GB in GOLD !! - bis zu 1000 Songs - TOP! ###		09/25/2005	10/02/2005	7	1	182	1.00	169.00	Y	N	N	N	Y	N	Y	N	N	Y	N	1	158.578
00044	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Grün	iPod mini 4GB grün, neuwertig!	m. Zubehör, z. B. FireWire-Kabel. iPod-Socke ab 150,-	09/24/2005	10/01/2005	7	1	81	1.00	0.00	N	N	N	N	Y	N	N	N	N	N	N	1	164.757
00047	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber	iPod mini 4GB mit Schutzhülle, neuwertig und OVP		09/25/2005	10/02/2005	7	1	79	120.00	170.00	Y	N	N	N	N	N	N	N	N	Y	N	1	167.977
00050	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Grün	<<<   IPOD Mini- 4GB- Grün- OVP!  +Zubehör!!!!>>>>>		09/25/2005	10/02/2005	7	1	67	1.00	0.00	N	N	N	N	N	N	Y	N	N	Y	N	1	164.757
00051	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber	iPod mini 4GB silber (fast unbenutzt, Originalzubehör)		09/25/2005	10/02/2005	7	1	87	1.00	170.00	Y	N	N	N	Y	N	Y	N	N	N	N	1	167.977
00053	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Blau	i-Pod Mini + In-Ear Headphones		09/25/2005	10/02/2005	7	1	13	50.00	0.00	N	N	N	N	N	N	Y	N	N	N	N	1	161.512
00054	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Gold	Gut erhaltener Apple Ipod Mini		09/25/2005	10/02/2005	7	1	30	1.00	0.00	N	N	N	N	Y	N	N	N	N	N	N	1	158.578
00055	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Pink	Apple iPod mini pink OVP inkl. Firewire Kabel! TOP		09/25/2005	10/02/2005	7	1	102	1.00	0.00	N	N	N	N	N	N	Y	N	Y	Y	N	1	173.45
00056	Audio & Hi-Fi:MP3-Player:Apple iPod:40 GB	gebrauchter ipod photo		09/25/2005	10/02/2005	7	1	23	1.00	280.00	Y	Y	N	N	N	N	Y	N	N	N	N	1	221.153
00057	Audio & Hi-Fi:MP3-Player:Apple iPod:40 GB	Apple iPod 40GB (4. Generation s/w) mit viel Zubehör!!		09/25/2005	10/02/2005	7	1	4	1.00	0.00	N	N	N	N	N	N	Y	N	N	N	N	1	221.153
00058	Audio & Hi-Fi:MP3-Player:Apple iPod:40 GB	Apple IPod 40 GB - 4.Generation mit Klick-Wheel		09/25/2005	10/02/2005	7	1	33	1.00	0.00	N	N	N	N	Y	N	N	N	N	N	N	1	221.153
00059	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Grün	I Pod Mini in Blau mit 4 GB und Kabelfernbedienung		09/25/2005	10/02/2005	7	1	56	1.00	0.00	N	N	N	N	N	N	Y	N	N	Y	N	1	164.757
00060	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber	ACHTUNG!! Neu&OVP Apple iPod mini MP3-Player 4GB Silver		09/25/2005	10/02/2005	7	1	8	1.00	0.00	N	N	N	N	N	N	N	N	N	N	N	1	167.977
00062	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Blau	apple ipod mini 4 gb blau neuwertig		09/25/2005	10/02/2005	7	1	82	1.00	0.00	N	N	N	N	Y	N	N	N	N	Y	N	1	161.512
00068	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber	Apple iPod mini silber mit Zubehör		09/25/2005	10/02/2005	7	1	0	1.00	0.00	N	N	N	N	N	N	N	N	N	N	N	1	167.977
00069	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Grün	Apple iPod Mini (4GB) 2.Generation		09/25/2005	10/02/2005	7	1	448	1.00	0.00	N	N	N	N	Y	N	N	N	N	N	N	1	164.757
00075	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Blau	iPod mini 4GB blue, OVP, neuw., unbenutzt, viel Zub. !!		09/25/2005	10/02/2005	7	1	52	1.00	0.00	N	N	N	N	N	N	Y	N	N	N	N	1	161.512
00077	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Grün	Apple iPod mini Neu 4GB OVP Grün		09/25/2005	10/02/2005	7	1	24	1.00	0.00	N	N	N	N	Y	N	N	N	N	Y	N	1	164.757
00078	Audio & Hi-Fi:MP3-Player:Apple iPod:40 GB	Apple 40 GB iPod 3.GEN inkl Neuer Akku !		09/25/2005	10/02/2005	7	1	3817	1.00	0.00	N	N	N	N	Y	N	N	N	N	N	N	1	221.153
00082	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber	APPLE IPOD MINI 4GB SILBER NEU OVP MIT GARANTIE	NUR 185,- ÿ STATT 199,- ÿ BEI UE2000 JETZT ZUGREIFEN !!	09/26/2005	10/06/2005	10	9	7081	185.00	0.00	N	N	N	N	Y	N	N	N	N	N	N	5	167.977
00083	Audio & Hi-Fi:MP3-Player:Apple iPod:40 GB	APPLE IPOD 4.GENERATION 40 GB		09/26/2005	10/01/2005	5	1	19	200.00	0.00	N	Y	N	N	N	N	N	N	N	N	N	1	221.153
00088	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber	Apple Ipod mini 4 gb silber		10/02/2005	10/09/2005	7	1	12	1.00	0.00	N	N	N	N	N	N	N	N	N	Y	N	1	167.977
00090	Audio & Hi-Fi:MP3-Player:Apple iPod:40 GB	Apple iPod Photo 40 GB + Zubehör und Contour Showcase		09/26/2005	10/06/2005	10	1	341	299.00	0.00	N	N	N	N	N	N	N	N	N	N	N	1	221.153
00091	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber	Apple - iPod mini 4 GB Silber (NEU & OVP)		09/26/2005	10/03/2005	7	1	1	1.00	0.00	N	Y	N	N	Y	N	Y	N	N	N	Y	1	167.977
00093	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber	Apple ipod mini, gold,		09/26/2005	10/01/2005	5	1	181	1.00	0.00	N	Y	N	N	Y	N	N	N	N	N	N	1	167.977
00094	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber	iPod mini 4 GB Silber OVP		09/26/2005	10/03/2005	7	1	72	1.00	0.00	N	N	N	N	N	N	N	N	N	N	N	1	167.977
00097	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber	Apple ipod Mini 4GB		09/26/2005	10/03/2005	7	1	352	1.99	170.00	Y	N	N	N	N	N	Y	N	N	N	N	1	167.977
00098	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber	Apple iPOD mini 4 GB silber - NEU		09/26/2005	10/03/2005	7	1	2	1.00	0.00	N	Y	N	N	Y	N	N	N	N	N	N	1	167.977
00101	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Blau	TOP: Apple Ipod Mini (blau) mit OVP und Ledertasche		09/27/2005	10/02/2005	5	1	206	1.00	0.00	N	N	N	N	N	N	Y	N	N	Y	N	1	161.512
00102	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Blau	iPod mini blau/blue 4 GB NEU & OVP		09/26/2005	10/03/2005	7	1	26	1.00	0.00	N	N	N	N	Y	N	N	N	N	N	N	1	161.512
00104	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Grün	Original APPLE 4 GB IPOD 2. Gen. **NEU**		09/26/2005	10/03/2005	7	1	11	50.00	0.00	N	Y	N	N	Y	N	N	N	N	N	N	1	164.757
00105	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber	APPLE IPOD MINI 4GB SILBER NEU GARANTIE DEUTSCHE WARE	NUR 185,- ÿ STATT 199,- ÿ BEI UE2000 JETZT ZUGREIFEN !!	09/27/2005	10/02/2005	5	9	7092	185.00	0.00	N	N	N	N	Y	N	N	N	N	N	N	5	167.977
00106	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber	Apple I Pod Mini 4GB Speicher ,Silber , NEU		09/27/2005	10/02/2005	5	1	52	1.00	180.00	Y	N	N	N	N	N	N	N	N	N	N	1	167.977
00107	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Blau	~ Apple IPOD MINI - BLAU - 4GB - TASCHE - RECHNUNG ~	mit nagelneuen original apple KOPFHÖRERN & LADEGERÄT	09/29/2005	10/09/2005	10	1	748	1.00	179.00	Y	N	N	N	Y	N	N	N	N	Y	N	1	161.512
00108	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber	APPLE IPOD MINI  4 GB SILBER MODELL 2005		09/27/2005	10/02/2005	5	1	141	1.00	0.00	N	N	N	N	Y	N	N	N	N	Y	N	1	167.977
00110	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber	Apple I-Pod Mini 4Gb, Silber Neu Org. verpackt		09/27/2005	10/07/2005	10	1	41	1.00	0.00	N	N	N	N	N	N	N	N	N	N	N	1	167.977
00111	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber	IPod Mini + Zubehör + 500 Songs + Manchester United		09/27/2005	10/04/2005	7	1	135	1.00	299.00	Y	N	N	N	N	N	N	N	N	Y	N	1	167.977
00113	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Blau	iPod Mini 4 GB Blau		09/27/2005	10/04/2005	7	1	112	1.00	0.00	N	N	N	N	Y	N	Y	N	N	Y	N	1	161.512
00114	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber	IPod mini 4GB (Silver) Neu (geschlossen)		09/27/2005	10/02/2005	5	1	114	1.00	0.00	N	N	N	N	Y	N	Y	N	N	N	N	1	167.977
00115	Audio & Hi-Fi:MP3-Player:Apple iPod:40 GB	Apple Ipod 4G mit 40GB! ! ! !+Stereo Wireless Kopfhörer		09/27/2005	10/07/2005	10	1	5	1.00	0.00	N	N	N	N	N	N	Y	N	N	N	N	1	221.153
00116	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber	iPod mini 4GB, silber, NEU, Rechnung, inkl. Ladekabel		09/27/2005	10/04/2005	7	1	30	77.00	177.00	Y	N	N	N	N	N	N	N	N	N	N	1	167.977
00119	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber	Apple iPod mini 4 GB (silver) mit Silikonhülle		09/27/2005	10/02/2005	5	1	49	1.00	0.00	N	N	N	N	N	N	Y	N	N	N	N	1	167.977
00120	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Grün	Apple iPod MP3 mini Musicplayer 4GB grün statt 199 Eur		09/27/2005	10/04/2005	7	9	13783	175.00	0.00	N	N	N	N	N	N	N	N	N	N	N	1	164.757
00121	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber	ipod mini Silber!!! superedel!	2 monate alt!	09/30/2005	10/07/2005	7	1	26	1.00	0.00	N	N	N	N	N	N	N	N	N	Y	N	1	167.977
00122	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber	Apple iPod mini 4 GB silber MP3-Player / NEU + Garantie		09/27/2005	10/07/2005	10	1	311	1.00	0.00	N	N	N	N	Y	N	Y	N	N	N	N	1	167.977
00124	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Blau	Apple, iPod mini, blau, OVP		09/28/2005	10/05/2005	7	1	57	1.00	0.00	N	Y	N	N	Y	N	Y	N	N	Y	N	1	161.512
00125	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber	Apple ipod mini 4GB silber 2. Generation OVP wie neu	+ Silikon Skin einfdach der beste mp3 Player 4 GB	09/27/2005	10/02/2005	5	1	87	1.00	0.00	N	N	N	N	Y	N	Y	N	N	N	N	1	167.977
00126	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber	iPod mini Silber, neuwertig mit OV P und Rechnung		09/27/2005	10/04/2005	7	1	34	1.00	0.00	N	Y	N	N	Y	N	Y	N	Y	N	Y	1	167.977
00129	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Blau	Apple IPod Mini, 4 GB, blau, mit Zub., 14 Mon. Garantie		09/28/2005	10/03/2005	5	1	87	100.00	0.00	N	N	N	N	Y	N	Y	N	N	Y	N	1	161.512
00132	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber	Apple iPod mini 4 GB 2. Generation, silber mit Garantie		09/28/2005	10/01/2005	3	1	57	1.00	0.00	N	N	N	N	N	N	N	N	N	Y	N	1	167.977
00133	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber	AppLe IPod Mini Silber 3.GEN OVP!100% OK! nur 2xbenutzt		09/28/2005	10/03/2005	5	1	58	1.00	0.00	N	N	N	N	Y	N	N	N	N	N	N	1	167.977
00134	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Gold	IPOD mini GOLD TOP MP3-Player von APPLE		09/28/2005	10/03/2005	5	1	33	1.99	0.00	N	N	N	N	N	N	N	N	N	N	N	1	158.578
00136	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Blau	SOFORT LIEFERBAR: iPod mini 4GB blau NEU (kein nano)		09/28/2005	10/04/2005	6	9	135	178.88	0.00	N	N	N	N	N	N	N	N	N	N	N	5	161.512
00139	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber	Apple iPODmini silver4GB!NEU! OVP! Model 2005! 2generat		09/28/2005	10/01/2005	3	1	12	1.00	0.00	N	N	N	N	Y	N	Y	N	N	Y	N	1	167.977
00140	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber	Apple iPod Mini Silver 4GB MP3 Player unbenutzt		09/28/2005	10/01/2005	3	1	231	100.00	169.00	Y	N	N	N	N	N	N	N	N	N	N	1	167.977
00141	Audio & Hi-Fi:MP3-Player:Apple iPod:40 GB	Apple iPod 40GB OVP + super viel Zubehör		09/28/2005	10/05/2005	7	1	131	1.00	0.00	N	Y	N	N	Y	N	N	N	N	Y	N	1	221.153
00144	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber	Apple iPod mini, 4 GB, silber OVP		09/28/2005	10/05/2005	7	1	370	1.00	0.00	N	N	N	N	Y	N	N	N	N	Y	N	1	167.977
00147	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber	Apple iPod Mini, Silber, 4Gb mit Restgarantie!		09/28/2005	10/03/2005	5	1	151	1.00	0.00	N	N	N	N	Y	N	Y	N	N	N	N	1	167.977
00149	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 6 GB:Silber	iPod Mini 6GB Silber + Logic3 Sound i-Station		09/28/2005	10/01/2005	3	1	353	180.00	0.00	N	N	N	N	Y	N	N	N	N	Y	N	1	197.022
00151	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Grün	iPod mini green -neu, unbenutzt und OVP-		09/30/2005	10/07/2005	7	1	62	1.00	0.00	N	N	N	N	N	N	Y	N	N	Y	N	1	164.757
00156	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Blau	iPod Mini 4 GB blau + iTrip Mini in sehr gutem Zustand	in der Originalverpackung, sehr günstiger Versand	09/29/2005	10/04/2005	5	1	17	1.00	0.00	N	Y	N	N	Y	N	N	N	N	Y	N	1	161.512
00158	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber	Apple iPod mini 4GB 1000 songs PC + MAC silber NEU/OVP		09/29/2005	10/09/2005	10	1	403	1.00	0.00	N	N	N	N	Y	N	N	N	N	N	N	1	167.977
00163	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Pink	ipod i pod mini 4 gb pink rosa		09/29/2005	10/02/2005	3	1	67	100.00	200.00	Y	Y	N	N	Y	N	Y	N	N	N	N	1	173.45
00164	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Grün	Apple iPod mini 4GB - grün		09/29/2005	10/09/2005	10	1	126	1.00	0.00	N	N	N	N	Y	N	N	N	N	N	N	1	164.757
00165	Audio & Hi-Fi:MP3-Player:Apple iPod:40 GB	IPOD - APPLE - 40 GB - 4. GENERATION - OVP - TOPZUSTAND		09/29/2005	10/09/2005	10	1	1166	1.99	0.00	N	N	N	N	N	N	N	N	N	N	N	1	221.153
00166	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Grün	Ipod Mini 4 GB 4GB grün, 2. Gen. m. Hülle und Garantie		09/29/2005	10/02/2005	3	1	57	1.00	0.00	N	N	N	N	Y	N	N	N	N	N	N	1	164.757
00168	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Gold	Apple iPod mini 4GB Gold  TOP		09/29/2005	10/02/2005	3	1	0	99.99	0.00	N	N	N	N	Y	N	N	N	N	N	N	1	158.578
00171	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber	Apple Ipod mini 4gb silber		09/29/2005	10/02/2005	3	1	35	80.00	140.00	Y	N	N	N	N	N	N	N	N	N	N	1	167.977
00172	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Blau	Apple iPod 4GB mit Kaufbeleg, kompl. Zubehör und OVP		09/29/2005	10/09/2005	10	1	11	1.00	0.00	N	Y	N	N	Y	N	N	N	N	N	N	1	161.512
00175	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Grün	iPod mini! NAGELNEU+ ZUBEHÖR!1000 songs!ORIGINAL!		09/29/2005	10/09/2005	10	1	46	1.00	170.00	Y	N	N	N	Y	N	N	N	N	N	N	1	164.757
00177	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Grün	iPod mini 4GB grün NEUWERTIG inkl. iTrip mini	mit Restgarantie	09/29/2005	10/02/2005	3	1	67	1.00	0.00	N	N	N	N	N	N	Y	N	N	N	N	1	164.757
00178	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Blau	Apple iPod mini blau fast neu in OVP		09/29/2005	10/04/2005	5	1	240	1.00	0.00	N	N	N	N	Y	N	N	N	N	N	N	1	161.512
00180	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber	IPod Mini Silber 4 GB  2 monate alt		09/29/2005	10/06/2005	7	1	4	1.00	0.00	N	Y	N	N	Y	N	N	N	N	N	N	1	167.977
00181	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Blau	Apple I-Pod Mini(4GB)+Lade-Stecker Absolut Neu!!!!!		09/29/2005	10/04/2005	5	1	27	1.00	0.00	N	N	N	N	Y	N	N	N	N	N	N	1	161.512
00184	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber	! ! ipod mini silber  4 GB apple OVP mit Garantie ! !		09/29/2005	10/09/2005	10	1	58	1.00	0.00	N	N	N	N	Y	N	Y	N	N	N	N	1	167.977
00186	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber	Apple iPod 4GB silber; OVP; 1 1/2 Jahre Restgarantie		09/29/2005	10/02/2005	3	1	41	1.00	0.00	N	N	N	N	N	N	N	N	N	N	N	1	167.977
00192	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber	Apple iPod mini 4 GB silber plus 2 iPod Socken		09/30/2005	10/05/2005	5	1	22	1.00	0.00	N	N	N	N	N	N	N	N	N	N	N	1	167.977
00195	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber	Apple iPod mini - silber, neuwertig & OVP		09/30/2005	10/03/2005	3	1	3	1.00	0.00	N	N	N	N	Y	N	N	N	N	N	N	1	167.977
00196	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Pink	***Apple iPod mini 4GB ***SUPER-ANGEBOT***		09/30/2005	10/07/2005	7	1	5	1.00	0.00	N	Y	N	N	Y	N	Y	N	N	Y	Y	1	173.45
00197	Audio & Hi-Fi:MP3-Player:Apple iPod:40 GB	IPOD 3 Mon. jung mit Rechnung  40 GB !!		09/30/2005	10/10/2005	10	1	138	1.00	277.00	Y	N	N	N	N	N	N	N	N	Y	N	1	221.153
00199	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Pink	iPod Mini 4 GB Pink 6 Monate Alt mit Garantie		09/30/2005	10/03/2005	3	1	0	1.00	0.00	N	N	N	N	N	N	Y	N	N	N	N	1	173.45
00201	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber	Ipod Mini 4GB Blau Top Zustand!!!		09/30/2005	10/03/2005	3	1	108	1.00	0.00	N	N	N	N	Y	N	Y	N	N	Y	N	1	167.977
00203	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Blau	NEU! iPod mini blue, 4GB, OVP und eingeschweißt!		10/02/2005	10/09/2005	7	1	41	1.00	0.00	N	N	N	N	Y	N	Y	N	N	Y	N	1	161.512
00206	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber	iPod Mini 4GB - OVP - wie NEU!		09/30/2005	10/03/2005	3	1	81	1.00	0.00	N	Y	N	N	Y	N	N	N	N	N	N	1	167.977
00212	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Grün	APPLE iPod MINI Musicplayer 4GB Mac + Win USB 2.0 GRÜN		09/30/2005	10/08/2005	8	9	11274	177.00	0.00	N	N	N	N	N	N	N	N	N	N	N	4	164.757
00214	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Gold	Apple IPOD Mini Gold (4 GB) + Griffin ITRIP Mini	2  x  ISkin Evo  (LaRouge + Ice) + Displayfolie	10/02/2005	10/09/2005	7	1	138	1.00	0.00	N	N	N	N	Y	N	Y	N	N	Y	N	1	158.578
