auct_id,gms_greater_avg,listing_start_date_year_transformed,listing_end_date_year_transformed,item_leaf_category_name_color_category_transformed,item_leaf_category_gigabytes_transformed,start_price_LogN_transformed,qty_available_per_listing_Invers_transformed,listing_start_date_month_transformed,listing_start_date_day_transformed,listing_end_date_month_transformed,listing_end_date_day_transformed,feedback_score_at_listing_time_Log10_transformed,dasy_between_weihnachten_2006_Log10_transformed,buy_it_now_price_LogN_transformed,listing_durtn_days_LogN_transformed,days_between_weihnachten_2005_Log10_transformed,start_prive > avg_transformed,start_price_is_default_transformed,start_price > gms_avg_transformed,schedule_fee_flag_transformed,qty_available_per_listing_is_default_transformed,qty > avg_transformed,listing_type_code_9_transformed,listing_type_code_7_transformed,listing_type_code_2_transformed,listing_type_code_1_transformed,listing_title_lowercase_contains_white_transformed,listing_title_lowercase_contains_warrenty_transformed,listing_title_lowercase_contains_video_transformed,listing_title_lowercase_contains_verschweißt_transformed,listing_title_lowercase_contains_verpackt_transformed,listing_title_lowercase_contains_songs_transformed,listing_title_lowercase_contains_silver_transformed,listing_title_lowercase_contains_pink_transformed,listing_title_lowercase_contains_photo_transformed,listing_title_lowercase_contains_ovp_transformed,listing_title_lowercase_contains_original_transformed,listing_title_lowercase_contains_new_transformed,listing_title_lowercase_contains_ipod_transformed,listing_title_lowercase_contains_invoice_transformed,listing_title_lowercase_contains_green_transformed,listing_title_lowercase_contains_dock_transformed,listing_title_lowercase_contains_colordisplay_transformed,listing_title_lowercase_contains_bussword_transformed,listing_title_lowercase_contains_blue_transformed,listing_title_lowercase_contains_black_transformed,listing_title_lowercase_contains_bag_transformed,listing_title_lowercase_contains_apple_transformed,listing_title_lowercase_contains_alt_transformed,_contains_gen_transformed,_contains_5gen_transformed,_contains_4gen_transformed,_contains_3gen_transformed,_contains_2gen_transformed,_contains_1gen_transformed,listing_subtitle_lowercase_contains_ovp_transformed,listing_subtitle_lowercase_contains_new_transformed,listing_durtn_days_is_default_transformed,item_leaf_category_name_article_category_meta_category_nano_transformed,item_leaf_category_name_article_category_meta_category_mini_transformed,item_leaf_category_name_article_category_meta_category_classic_transformed,is_24_days_before_weihnachten_transformed,ipix_featured_fee_flag_transformed,highlight_fee_flag_transformed,gallery_fee_flag_transformed,gallery_featured_fee_flag_transformed,feedback_score_at_listing_time_is_default_transformed,feedback > avg_transformed,category_featured_fee_flag_transformed,buy_prive > avg_transformed,buy_it_now_listed_flag_transformed,buy_it_now > gms_avg_transformed,border_fee_flag_transformed,bold_fee_flag_transformed
5163,"W",2005,2006,1.366717,-0.696476,1.768002,0.150366,1.104415,1.849104,-1.205195,-1.722618,0.156006,-0.074072,-0.506275,-2.250540,0.000000,"0","0","0","0","1","1","0","1","1","0","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","0","1","1","1","1","1","1","1","1","1"
8832,"F",2006,2006,1.366717,-0.696476,-0.589519,0.150366,-1.026969,1.267182,-0.780798,-1.238836,-0.551228,-1.398505,-0.506275,0.668542,0.000000,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","0","1","1","0","1","1","1","1","1","1","1","1","1","1","0"
13520,"F",2005,2005,-0.208363,0.667938,-0.589519,0.150366,1.104415,1.616335,1.128988,1.784804,-0.426062,-0.031526,-0.506275,-2.250540,0.000000,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","0","1","1","1","0","1","1","1","1","1","1","0","1","0","1","0","1","1","1","1","1","1","1","1","1"
5062,"F",2005,2006,-0.995902,-0.696476,-0.589519,0.150366,1.104415,1.616335,-1.205195,-0.875999,0.191749,-0.031526,-0.506275,1.203594,0.000000,"1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","0","1","1","1","1","1","1","1","1","1"
12128,"W",2005,2005,2.154257,-0.696476,-0.589519,0.150366,0.891276,1.034413,1.128988,-1.359782,0.282230,0.677050,-0.506275,1.203594,0.051475,"1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","0","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","0","1","1","0","1","1","0","1","1","1","1","1","1"
8405,"F",2006,2006,-0.208363,-0.867028,-0.589519,0.150366,-1.026969,0.452490,-0.992997,1.301021,-0.071508,-1.222933,-0.506275,0.668542,0.000000,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1"
1862,"F",2005,2005,1.366717,-0.696476,-0.589519,0.150366,0.891276,-0.245817,0.916790,0.575348,0.669103,0.886819,-0.506275,0.668542,0.532401,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","0","1","1","0","1","1","1","1","1","1","1","1","0"
5425,"W",2006,2006,1.366717,-0.696476,-0.589519,0.150366,-1.240108,-1.176892,-1.205195,-0.029380,0.318879,-0.181486,-0.506275,1.203594,0.000000,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","0","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
6779,"W",2006,2006,1.366717,-0.696476,-0.589519,0.150366,-1.240108,1.267182,-0.992997,-1.238836,0.341851,-0.649888,-0.506275,1.203594,0.000000,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","0","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
10822,"F",2005,2005,1.366717,-0.525924,-0.589519,0.150366,0.678138,0.452490,0.704591,1.059130,1.782508,1.343168,-0.506275,0.163796,1.265370,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","0","1","1","1","1","1","0","1","1","1","1","1","1"
3961,"F",2005,2005,-0.208363,-0.696476,-0.589519,0.150366,1.104415,-0.245817,1.128988,-0.271271,-0.033411,0.300570,1.937203,0.000000,-1.493191,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","0","1","1","1","1","1","1","1","0","1","0","1","1","1","1","1","1","1","1","1","0","0","1","1","1","1","1","0","1","1","1","1","1","0","1","1","1"
9363,"W",2006,2006,1.366717,-0.696476,-0.589519,0.150366,-0.813831,-1.060508,-0.780798,-0.513163,-0.628563,-1.604228,-0.506275,0.163796,0.000000,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","0","1","1","1","1","1","1","1","1","1"
15678,"F",2006,2006,-0.208363,1.520696,-0.589519,0.150366,-0.813831,-0.944123,-0.780798,-0.150326,-0.263777,-1.630337,-0.506275,0.668542,0.000000,"1","1","1","0","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","0","1","1","1","1","1","1","1","1","1","1","1"
14636,"W",2006,2006,1.366717,-0.525924,-0.589519,0.150366,-1.240108,1.849104,-0.992997,-1.238836,0.421776,-0.765778,-0.506275,0.163796,0.000000,"1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","0","1","1","1","1","1","1","1","1","1"
10079,"W",2005,2005,-0.208363,0.667938,-0.589519,0.150366,0.464999,1.616335,0.704591,-0.755054,0.339039,1.689577,-0.506275,1.203594,1.672885,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","0","1","1","1","1","1","1","1","1","1","1","1","1"
15205,"F",2006,2006,-0.208363,0.667938,1.632318,0.150366,-1.026969,0.103337,-0.992997,1.301021,-2.140854,-1.148907,-0.506275,1.203594,0.000000,"1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","0","1","0","1","0","1","1","1","1","1","1","1"
14382,"W",2006,2006,-0.208363,1.520696,-0.589519,0.150366,-1.240108,1.034413,-1.205195,1.663858,0.262806,-0.604020,-0.506275,0.163796,0.000000,"1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","0","1","0","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","0","1","1","1","0","1","1","1","1","1","1","1","1","1"
3931,"W",2005,2005,1.366717,-0.696476,-0.589519,0.150366,1.104415,-0.362201,1.128988,0.212511,-0.984317,0.320855,-0.506275,0.163796,-1.359229,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","0","1","1","1","1","1","1","1","1","1","1","1"
6523,"F",2006,2006,1.366717,-0.696476,-0.589519,0.150366,-1.240108,0.801644,-1.205195,1.663858,0.294759,-0.558426,-0.506275,0.668542,0.000000,"1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","0","1","1","1","1","1","1","1","1","1","1","1"
9775,"F",2006,2006,1.366717,-0.696476,-0.589519,0.150366,-0.813831,-0.245817,-0.780798,0.575348,-0.412475,-1.788897,-0.506275,0.668542,0.000000,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","0","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","0"
4441,"W",2005,2005,1.366717,-0.696476,-0.589519,0.150366,1.104415,0.336106,1.128988,0.938184,-0.551228,0.198333,-0.506275,0.163796,-2.426386,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","0","1","0","1","1","1","1","1","1","1","1","1"
10136,"W",2005,2005,-0.208363,0.667938,1.872438,0.150366,0.464999,1.732719,0.704591,-1.601673,-0.263777,1.672625,-0.506275,-1.210742,1.654878,"0","0","0","1","1","1","0","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","0","1","1","1","1","1","1","1","1","0","0","0","1","1","1","1","1","1","1","1","1","1","1"
6104,"F",2006,2006,-0.208363,-0.696476,-0.589519,0.150366,-1.240108,-0.013048,-1.205195,0.817239,0.417001,-0.400956,-0.506275,0.668542,0.000000,"1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","0","1","1","1","1","1","1","1","1","1","1","0"
2740,"F",2005,2005,-0.208363,-0.696476,-0.589519,0.150366,0.891276,1.383566,1.128988,-1.601673,-0.373869,0.618826,-0.506275,0.163796,-0.110736,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","0","0","1","1","1","1","1","1","1","1","1","1","1"
8633,"W",2006,2006,-0.208363,-0.867028,-0.589519,0.150366,-1.026969,0.918028,-0.992997,1.542912,-0.903745,-1.322765,-0.506275,0.163796,0.000000,"1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","0","1","1","1","1","1","1","1","1","1","1","0"
2980,"W",2005,2005,-0.208363,-0.696476,1.851225,0.150366,1.104415,-1.642430,1.128988,-1.722618,1.915104,0.540497,-0.506275,0.000000,-0.357597,"0","0","0","1","1","1","0","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","0","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1"
3606,"W",2005,2005,-0.208363,-0.696476,1.851225,0.150366,1.104415,-0.711354,1.128988,-0.392217,1.924363,0.381386,-0.506275,-0.602499,-1.015682,"0","0","0","1","1","1","0","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","0","1","1","0","1","1","1","1","1","1"
3612,"W",2005,2005,-0.208363,-0.696476,1.851225,-5.491280,1.104415,-0.594970,1.128988,-0.271271,1.924363,0.361262,-0.506275,-0.602499,-1.121902,"0","0","0","1","0","1","0","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","0","1","1","0","1","1","1","1","1","1"
6777,"W",2006,2006,-0.208363,-0.696476,1.965923,0.150366,-1.240108,1.267182,-1.205195,1.301021,0.685881,-0.649888,-0.506275,0.000000,0.000000,"0","0","0","1","1","1","0","1","1","0","0","1","1","1","1","1","1","1","1","0","1","0","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
9210,"W",2006,2006,-0.208363,-0.696476,1.921402,-7.465856,-0.813831,-1.293277,-0.780798,-0.150326,0.724170,-1.552275,-0.506275,1.203594,0.000000,"0","0","0","1","0","1","0","1","1","0","0","1","1","1","1","1","1","1","1","0","1","0","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
8504,"F",2006,2006,-0.208363,-0.696476,-0.589519,0.150366,-1.026969,0.568875,-0.992997,0.696293,0.648762,-1.247769,-0.506275,-2.250540,0.000000,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1"
7523,"W",2006,2006,-0.208363,-0.696476,-0.589519,0.150366,-1.026969,-1.176892,-0.992997,-0.875999,0.645785,-0.883454,-0.506275,-0.602499,0.000000,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1"
8160,"F",2006,2006,-0.208363,-0.696476,-0.589519,0.150366,-1.026969,-0.013048,-0.992997,0.575348,0.648762,-1.124390,-0.506275,0.163796,0.000000,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1"
4783,"F",2005,2005,-0.208363,-0.696476,1.754770,0.150366,1.104415,0.801644,1.128988,1.180076,-2.140854,0.115546,-0.506275,-0.602499,-4.117790,"1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","0","1","0","1","1","1","1","1","1","1"
6750,"F",2006,2006,0.579177,-0.696476,-0.589519,0.150366,-1.240108,1.150797,-0.992997,-1.359782,-0.569431,-0.626920,-0.506275,1.203594,0.000000,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","0","1","1","1","1","1","1","1","1","1","1","0"
7522,"W",2006,2006,-0.208363,-0.696476,-0.589519,0.150366,-1.026969,-1.176892,-0.992997,-0.875999,0.645785,-0.883454,-0.506275,-0.602499,0.000000,"1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1"
11658,"W",2005,2005,-0.208363,1.520696,1.974315,0.150366,0.891276,-0.362201,0.916790,-0.392217,0.339039,0.905606,-0.506275,0.000000,0.569502,"0","0","0","1","1","1","0","1","1","0","1","1","0","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","0","1","0","1","1","0","0","1","1","1","1","1","1","1","1","1","1","0","1"
13533,"W",2005,2006,-0.208363,0.667938,-0.589519,0.150366,1.104415,1.616335,-1.205195,-1.238836,0.819453,-0.031526,-0.506275,0.668542,0.000000,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","0","1","1","1","0","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","0","0"
14763,"W",2006,2006,-0.208363,0.667938,-0.589519,0.150366,-1.026969,-1.409661,-0.992997,-1.117891,0.833821,-0.836166,-0.506275,-0.602499,0.000000,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","0","1","1","1","0","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","0","0"
1050,"F",2005,2005,1.366717,-0.696476,-0.589519,0.150366,0.678138,0.918028,0.704591,1.784804,0.214186,1.271960,-0.506275,0.668542,1.169114,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","0","1","0","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","0","1","0","0","1","0","1","1","1","1","1","1","1","1","1"
5402,"W",2006,2006,1.366717,-0.696476,1.697638,0.150366,-1.240108,-1.176892,-1.205195,-1.117891,-0.516762,-0.181486,1.986318,-2.250540,0.000000,"0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","0","1","1","0","1","0","1","1","1","1","0","0","0","0","1"
13082,"W",2005,2005,-0.208363,0.667938,-0.589519,0.150366,1.104415,-0.013048,1.128988,0.333457,-0.454442,0.259840,-0.506275,-0.602499,-1.802140,"1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1"
9341,"F",2006,2006,-0.208363,2.373455,-0.589519,0.150366,-0.813831,-1.176892,-0.780798,-0.875999,0.294759,-1.578207,-0.506275,-0.602499,0.000000,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","0","1","0","1","0","1","1","1","1","1","1","1","1","1"
13208,"W",2005,2005,-0.208363,1.520696,1.512560,0.150366,1.104415,0.219721,1.128988,0.333457,-0.134969,0.218890,2.120423,-2.250540,-2.189059,"1","0","1","1","1","1","1","1","1","1","0","1","0","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","0","1","0","0","1","1","1","1","1","1","1","1","1","0","1","1","1","0","1","1","1","1","1","0","0","1","1"
14333,"F",2006,2006,-0.208363,1.520696,-0.589519,0.150366,-1.240108,0.801644,-1.205195,1.663858,-1.364601,-0.558426,-0.506275,0.668542,0.000000,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","0","1","0","1","0","1","1","1","1","1","1","1","0","0"
545,"W",2005,2005,-0.208363,2.373455,-0.589519,0.150366,0.678138,-0.478585,0.704591,0.333457,-1.030287,1.483623,2.144749,0.668542,1.441514,"1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","0","1","0","1","1","1","1","1","1","1","1","0","0","0","0","1","1","1","1","1","0","0","0","1","0"
