auct_id,gms_greater_avg,listing_title,listing_subtitle,listing_start_date_year,listing_end_date_year,listing_start_date_month,listing_end_date_month,feedback_score_at_listing_time_Log10_transformed,start_price_LogN_transformed,buy_it_now_price_LogN_transformed,dasy_between_weihnachten_2006_transformed,days_between_weihnachten_2005_transformed,listing_start_date_months,listing_end_date_months,listing_start_date_day_transformed,listing_end_date_day_transformed,listing_durtn_days_LogN_transformed,qty_available_per_listing_Mean__avg_transformed,category_avg_gms_transformed,start_price_Mean__avg_transformed,buy_it_now_price_Mean__avg_transformed,feedback_score_at_listing_time_Mean__avg_transformed,item_leaf_category_name_article_category_transformed,item_leaf_category_name_article_category_meta_category_transformed,item_leaf_category_name_color_category_transformed,is_24_days_before_weihnachten_transformed,qty_available_per_listing_is_default_transformed,feedback > avg_transformed,buy_prive > avg_transformed,buy_it_now > gms_avg_transformed,start_prive > avg_transformed,start_price > gms_avg_transformed,qty > avg_transformed,listing_subtitle_lowercase_contains_ovp_transformed,start_price_is_default_transformed,buy_it_now_listed_flag_transformed,feedback_score_at_listing_time_is_default_transformed,listing_durtn_days_is_default_transformed,bold_fee_flag_transformed,category_featured_fee_flag_transformed,gallery_fee_flag_transformed,gallery_featured_fee_flag_transformed,ipix_featured_fee_flag_transformed,highlight_fee_flag_transformed,schedule_fee_flag_transformed,border_fee_flag_transformed,item_leaf_category_name_Audio & Hi-Fi:MP3-Player:Apple iPod:20 GB_transformed,item_leaf_category_name_Audio & Hi-Fi:MP3-Player:Apple iPod:30 GB_transformed,item_leaf_category_name_Audio & Hi-Fi:MP3-Player:Apple iPod:40 GB_transformed,item_leaf_category_name_Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Blau_transformed,item_leaf_category_name_Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Gold_transformed,item_leaf_category_name_Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Grün_transformed,item_leaf_category_name_Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Pink_transformed,item_leaf_category_name_Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber_transformed,item_leaf_category_name_Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Sonsti_transformed,item_leaf_category_name_Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 6 GB:Blau_transformed,item_leaf_category_name_Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 6 GB:Grün_transformed,item_leaf_category_name_Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 6 GB:Pink_transformed,item_leaf_category_name_Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 6 GB:Silber_transformed,item_leaf_category_name_Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Nano 2 GB_transformed,item_leaf_category_name_Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Nano 4 GB_transformed,listing_type_code_1_transformed,listing_type_code_2_transformed,listing_type_code_7_transformed,listing_type_code_9_transformed,listing_title_lowercase_contains_new_transformed,listing_subtitle_lowercase_contains_new_transformed,listing_title_lowercase_contains_ovp_transformed,listing_title_lowercase_contains_black_transformed,listing_title_lowercase_contains_silver_transformed,listing_title_lowercase_contains_white_transformed,listing_title_lowercase_contains_green_transformed,listing_title_lowercase_contains_pink_transformed,listing_title_lowercase_contains_blue_transformed,listing_title_lowercase_contains_photo_transformed,listing_title_lowercase_contains_bussword_transformed,listing_title_lowercase_contains_invoice_transformed,listing_title_lowercase_contains_video_transformed,listing_title_lowercase_contains_warrenty_transformed,listing_title_lowercase_contains_colordisplay_transformed,listing_title_lowercase_contains_original_transformed,listing_title_lowercase_contains_verschweißt_transformed,listing_title_lowercase_contains_dock_transformed,listing_title_lowercase_contains_alt_transformed,listing_title_lowercase_contains_songs_transformed,listing_title_lowercase_contains_apple_transformed,listing_title_lowercase_contains_ipod_transformed,listing_title_lowercase_contains_verpackt_transformed,listing_title_lowercase_contains_bag_transformed
5163,"W","  I Pod - 4 GB Mini - Silber - inkl. Versand ","",2005,2006,12,1,0.173039,1.748392,-0.512916,-0.146618,-0.146618,0.146618,0.059908,1.849007,-1.727381,-2.289448,-0.872238,12.000000,12.000000,12.000000,12.000000,"6","2","5","1","1","1","1","1","0","0","1","1","0","1","1","1","1","1","0","1","1","1","0","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","0","1","1","0","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","0","1","1"
8832,"F","  I-Pod Mini 4 GB","",2006,2006,2,3,-0.545712,-0.596090,-0.512916,-1.352193,-1.352193,1.352193,1.399064,1.266257,-1.243139,0.655880,-0.872238,12.000000,12.000000,12.000000,12.000000,"6","2","5","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","0","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","0","1","1"
13520,"F","  ipod 20 GB  Klassik 2 Generation mit touchweel","",2005,2005,12,12,-0.418509,-0.596090,-0.512916,-0.104317,-0.104317,0.104317,0.017395,1.615907,1.783373,-2.289448,0.082420,13.000000,13.000000,13.000000,13.000000,"4","1","6","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","0","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1"
5062,"F","  Ipod mini 4gig + Itripp + 2.Accu / alles dabei...","",2005,2006,12,1,0.209364,-0.596090,-0.512916,-0.104317,-0.104317,0.104317,0.208703,1.615907,-0.879958,1.195743,-1.111606,6.000000,6.000000,6.000000,6.000000,"6","2","3","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","0","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1"
12128,"W","  iPod nano 4GB Apple (Weiß) 1000 Songs, Neu und OVP","",2005,2005,11,12,0.301319,-0.596090,-0.512916,0.635949,0.635949,-0.635949,-0.535273,1.033158,-1.364200,1.195743,0.690697,4.000000,4.000000,4.000000,4.000000,"6","2","1","0","1","0","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","0","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","0","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1"
8405,"F","  iPod nano von Apple 2GB in weiß, neu, ovp.","",2006,2006,2,2,-0.058180,-0.596090,-0.512916,-1.204140,-1.204140,1.204140,1.250269,0.450408,1.299131,0.655880,-1.787470,7.000000,7.000000,7.000000,7.000000,"0","0","6","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","0","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
1862,"F"," - Apple ipod / i pod mini Silber 4GB wie neu  -","",2005,2005,11,11,0.694492,-0.596090,-0.512916,0.868604,0.868604,-0.868604,-0.832863,-0.248891,0.572768,0.655880,-0.872238,12.000000,12.000000,12.000000,12.000000,"6","2","5","0","1","1","1","1","1","1","1","1","1","1","1","1","0","1","0","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
5425,"W"," !!! Apple iPod mini 4 GB silver NEU und OVP !!!","",2006,2006,1,1,0.338565,-0.596090,-0.512916,-0.252370,-0.252370,0.252370,0.357498,-1.181290,-0.032534,1.195743,-0.872238,12.000000,12.000000,12.000000,12.000000,"6","2","5","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","0","1","0","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
6779,"W"," !!! Apple iPod mini 4 GB silver NEU und OVP !!!","",2006,2006,1,2,0.361910,-0.596090,-0.512916,-0.696529,-0.696529,0.696529,0.803884,1.266257,-1.243139,1.195743,-0.872238,12.000000,12.000000,12.000000,12.000000,"6","2","5","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","0","1","0","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
10822,"F"," * Apple iPod MINI 6GB NEU original verpackt ab 1- ÿ *","",2005,2005,10,10,1.826028,-0.596090,-0.512916,1.397365,1.397365,-1.397365,-1.406787,0.450408,1.057010,0.146596,1.310239,8.000000,8.000000,8.000000,8.000000,"1","2","5","0","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","0","1"
3961,"F"," >>> Appel iPod nano 2GB schwarz - NEUWARE in OVP <<<","",2005,2005,12,12,-0.019463,-0.596090,1.912093,0.234091,0.234091,-0.234091,-0.343965,-0.248891,-0.274655,0.000000,1.296926,14.000000,14.000000,14.000000,14.000000,"5","0","6","1","1","1","1","1","1","1","1","1","1","0","1","0","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","0","1","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1"
9363,"W"," APPLE  iPOD  4GB  silber  mit viel ZUBEHÖR ","",2006,2006,3,3,-0.624307,-0.596090,-0.512916,-1.521397,-1.521397,1.521397,1.526603,-1.064740,-0.516776,0.146596,-0.872238,12.000000,12.000000,12.000000,12.000000,"6","2","5","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
15678,"F"," Apple - ipod Video 30 GB - weiß","",2006,2006,3,3,-0.253580,-0.596090,-0.512916,-1.542547,-1.542547,1.542547,1.590372,-0.948191,-0.153595,0.655880,0.102445,11.000000,11.000000,11.000000,11.000000,"3","1","6","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","0","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1"
14636,"W"," Apple i-Pod mini mit 6GB Datenspeicher!","",2006,2006,1,2,0.443137,-0.596090,-0.512916,-0.802281,-0.802281,0.802281,0.803884,1.849007,-1.243139,0.146596,1.310239,8.000000,8.000000,8.000000,8.000000,"1","2","5","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1"
10079,"W"," Apple I-Pod, 20 GB,gebraucht","",2005,2005,9,10,0.359053,-0.596090,-0.512916,1.820374,1.820374,-1.820374,-1.725634,1.615907,-0.758897,1.195743,0.082420,13.000000,13.000000,13.000000,13.000000,"4","1","6","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1"
15205,"F"," Apple iPod (3.G) 20GB + iTrip und Zubehör! Ansehen!!","",2006,2006,2,2,-2.161226,1.613459,-0.512916,-1.140688,-1.140688,1.140688,1.250269,0.100758,1.299131,1.195743,0.082420,13.000000,13.000000,13.000000,13.000000,"4","1","6","1","1","1","1","1","1","1","1","1","0","1","0","1","1","1","0","1","0","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
14382,"W"," Apple iPod 5th Generation Video - 30 GB - NEU - OVP *","",2006,2006,1,1,0.281578,-0.596090,-0.512916,-0.654228,-0.654228,0.654228,0.655088,1.033158,1.662312,0.146596,0.102445,11.000000,11.000000,11.000000,11.000000,"3","1","6","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","0","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1"
3931,"W"," Apple iPod MINI 4 GB Silber in Top Zustand","",2005,2005,12,12,-0.985854,-0.596090,-0.512916,0.255241,0.255241,-0.255241,-0.258939,-0.365441,0.209587,0.146596,-0.872238,12.000000,12.000000,12.000000,12.000000,"6","2","5","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1"
6523,"F"," Apple Ipod Mini 4GB! Silber","",2006,2006,1,1,0.314052,-0.596090,-0.512916,-0.611927,-0.611927,0.611927,0.655088,0.800058,1.662312,0.655880,-0.872238,12.000000,12.000000,12.000000,12.000000,"6","2","5","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","0","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
9775,"F"," Apple iPod mini Musicplayer 4GB SIlber TOP","",2006,2006,3,3,-0.404700,-0.596090,-0.512916,-1.669450,-1.669450,1.669450,1.717911,-0.248891,0.572768,0.655880,-0.872238,12.000000,12.000000,12.000000,12.000000,"6","2","5","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","0","1","1","1","1","1","1","1","1","0","1","1","1","1"
4441,"W"," Apple iPod mini, 4GB, in silber mit Zubehör...NEU","",2005,2005,12,12,-0.545712,-0.596090,-0.512916,0.128338,0.128338,-0.128338,-0.131400,0.333858,0.935949,0.146596,-0.872238,12.000000,12.000000,12.000000,12.000000,"6","2","5","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","0","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
10136,"W"," Apple IPOD MP3 20GB + USB Kabel + Software CD + 4.Gene","",2005,2005,9,10,-0.253580,1.852251,-0.512916,1.799224,1.799224,-1.799224,-1.874429,1.732457,-1.606321,-1.240302,0.082420,13.000000,13.000000,13.000000,13.000000,"4","1","6","0","1","1","1","1","0","0","1","1","0","1","1","1","1","1","1","1","0","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
6104,"F"," Apple iPod nano (weiß) 2GB - MP3 Player !!wie neu!!","",2006,2006,1,1,0.438284,-0.596090,-0.512916,-0.463874,-0.463874,0.463874,0.506293,-0.015791,0.814889,0.655880,1.296926,14.000000,14.000000,14.000000,14.000000,"5","0","6","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","0","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
2740,"F"," Apple iPod Nano 2 GB - weiß - NEU!!! - OVP !!!","",2005,2005,11,12,-0.365465,-0.596090,-0.512916,0.572498,0.572498,-0.572498,-0.577786,1.382807,-1.606321,0.146596,1.296926,14.000000,14.000000,14.000000,14.000000,"5","0","6","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","0","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
8633,"W"," Apple iPod nano 2GB  NEU","Eleganter nano iPod 2gb  von Apple  in schwarz",2006,2006,2,2,-0.903970,-0.596090,-0.512916,-1.288742,-1.288742,1.288742,1.292782,0.916608,1.541252,0.146596,-1.787470,7.000000,7.000000,7.000000,7.000000,"0","0","6","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","0","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
2980,"W"," APPLE IPOD NANO 2GB BLACK","",2005,2005,12,12,1.960785,1.831154,-0.512916,0.487896,0.487896,-0.487896,-0.599042,-1.647490,-1.727381,0.000000,1.296926,14.000000,14.000000,14.000000,14.000000,"5","0","6","1","1","0","1","1","0","0","1","1","0","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","0","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
3606,"W"," APPLE IPOD NANO 2GB BLACK","",2005,2005,12,12,1.970194,1.831154,-0.512916,0.318692,0.318692,-0.318692,-0.365221,-0.715091,-0.395716,-0.626589,1.296926,14.000000,14.000000,14.000000,14.000000,"5","0","6","1","1","0","1","1","0","0","1","1","0","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","0","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
