auct_id	item_leaf_category_name	listing_title	listing_subtitle	listing_start_date	listing_end_date	listing_durtn_days	listing_type_code	feedback_score_at_listing_time	start_price	buy_it_now_price	buy_it_now_listed_flag	bold_fee_flag	featured_fee_flag	category_featured_fee_flag	gallery_fee_flag	gallery_featured_fee_flag	ipix_featured_fee_flag	reserve_fee_flag	highlight_fee_flag	schedule_fee_flag	border_fee_flag	qty_available_per_listing	gms	category_avg_gms	gms_greater_avg
00018	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber	iPod mini silber, nagelneu!!!		09/22/2005	10/02/2005	10	1	26	1.00	0.00	N	Y	N	N	Y	N	Y	N	N	N	N	1	161.00	167.977	0
00020	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber	ipod mini 4 GB silber wie neu Modell 2005 mit Rechnung	incl. Zubehör,networx silicon skin	09/22/2005	10/02/2005	10	1	524	1.00	0.00	N	N	N	N	N	N	N	N	N	N	N	1	144.00	167.977	0
00022	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Blau	Apple iPod mini 4 GB blau - 1000 songs PC + MAC  OVP!!!		09/22/2005	10/02/2005	10	1	104	1.00	0.00	N	N	N	N	N	N	N	N	N	N	N	1	173.00	161.512	1
00024	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Pink	Apple ipod mini 2005  pink 4 GB wie NEU OVP		09/23/2005	10/03/2005	10	1	4	1.00	0.00	N	Y	N	N	Y	N	Y	N	N	N	N	1	161.00	173.45	0
00025	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Blau	Apple iPOD Mini 4GB Blau - Neu mit Rechnung		09/23/2005	10/03/2005	10	1	120	1.00	0.00	N	Y	N	N	Y	N	N	N	N	N	N	1	158.00	161.512	0
00026	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber	Apple iPod mini 4 GB silber Mac/Windows dt. 2005 2.Gen.		09/23/2005	10/03/2005	10	1	0	1.00	0.00	N	N	N	N	N	N	N	N	N	N	N	1	162.00	167.977	0
00027	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber	ipod mini 4GB mit Zubehör !!!		09/24/2005	10/01/2005	7	1	17	1.00	0.00	N	Y	N	N	Y	N	Y	N	N	Y	N	1	148.01	167.977	0
00029	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Pink	Apple iPod mini 4GB mit Zubehör und itrip		09/23/2005	10/03/2005	10	1	192	1.00	160.00	Y	Y	N	N	Y	N	N	N	N	N	N	1	184.69	173.45	1
00031	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Pink	Apple iPod Mini Pink 4GB / 2. Generation		09/24/2005	10/01/2005	7	1	194	1.00	0.00	N	N	N	N	Y	N	Y	N	N	Y	N	1	146.60	173.45	0
00032	Audio & Hi-Fi:MP3-Player:Apple iPod:40 GB	**Apple i Pod Photo 40GB**TOP-Zustand**		09/24/2005	10/01/2005	7	1	2	1.00	0.00	N	N	N	N	N	N	Y	N	N	N	N	1	291.00	221.153	1
00035	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Grün	I-Pod Mini (Super Preis)	So gut wie neu	09/24/2005	10/01/2005	7	1	4	100.00	0.00	N	Y	N	N	N	N	N	N	N	N	N	1	116.00	164.757	0
00036	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber	Ipod mini 4 GB, Silber - TOP ZUSTAND		09/25/2005	10/02/2005	7	1	9	1.00	0.00	N	Y	N	N	Y	N	Y	N	N	Y	N	1	131.00	167.977	0
00037	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber	APPLE iPod mini 4 GB - 1000 Songs PC + Mac		09/24/2005	10/04/2005	10	1	169	1.00	0.00	N	N	N	N	Y	N	Y	N	N	N	N	1	166.52	167.977	0
00039	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Blau	I Pod mini  4 GB  Blue Gerät  Neu		09/24/2005	10/01/2005	7	1	454	99.00	0.00	N	N	N	N	N	N	Y	N	N	N	N	1	193.00	161.512	1
00040	Audio & Hi-Fi:MP3-Player:Apple iPod:40 GB	Apple iPod! 40 GB! 3. Gen.! Wie neu! Top gepflegt!		09/24/2005	10/04/2005	10	1	47	1.00	0.00	N	N	N	N	Y	N	Y	N	N	N	N	1	250.53	221.153	1
00043	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Pink	*** Ipod Mini 4GB rosa***		09/24/2005	10/01/2005	7	1	54	1.00	0.00	N	N	N	N	N	N	N	N	N	N	N	1	132.77	173.45	0
00045	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Grün	Apple iPod mini, 4GB - grün, super gepflegt		09/24/2005	10/01/2005	7	1	217	1.00	0.00	N	N	N	N	N	N	N	N	N	N	N	1	151.00	164.757	0
00046	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Grün	iPod Mini 4GB		09/25/2005	10/02/2005	7	1	29	1.00	0.00	N	N	N	N	N	N	N	N	N	Y	N	1	130.90	164.757	0
00048	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Pink	Apple iPod mini pink - neu + Rechnung		09/25/2005	10/02/2005	7	1	22	1.00	0.00	N	N	N	N	Y	N	N	N	N	N	N	1	180.01	173.45	1
00049	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Gold	iPod mini m. Dock und Ledertasche!! ->für Salsa-Freunde		09/26/2005	10/03/2005	7	1	15	111.00	0.00	N	Y	N	N	N	N	N	N	N	Y	N	1	147.23	158.578	0
00052	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Blau	Apple iPod mini blau 4GB ***wie NEU*** in OVP		09/25/2005	10/02/2005	7	1	101	1.00	0.00	N	N	N	N	Y	N	N	N	N	Y	N	1	134.33	161.512	0
00061	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber	iPod mini - Silber - neu		09/25/2005	10/02/2005	7	1	288	1.00	0.00	N	N	N	N	Y	N	Y	N	N	N	N	1	170.00	167.977	1
00063	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Gold	NEU Apple iPod mini 4GB Gold NEU		09/25/2005	10/02/2005	7	1	13	1.00	0.00	N	N	N	N	N	N	N	N	N	N	N	1	151.00	158.578	0
00064	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber	+++ iPod mini 4 GB silber neues Modell Garantie +++		09/25/2005	10/02/2005	7	1	610	1.00	149.00	Y	Y	N	N	Y	N	N	N	N	Y	N	1	151.51	167.977	0
00065	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber	Apple Ipod mini 4 gb *Neu* & #OVP# 2 Jahre Garantie		09/25/2005	10/02/2005	7	1	178	1.00	165.00	Y	N	N	N	N	N	N	N	N	N	N	1	169.00	167.977	1
00066	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber	Apple iPod mini *silber* mit viel Zubehör		09/25/2005	10/05/2005	10	1	164	1.00	169.00	Y	N	N	N	N	N	Y	N	N	N	N	1	176.00	167.977	1
00067	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber	Apple IPod Mini 4 GB Silver Neu und Garantie		09/25/2005	10/02/2005	7	1	8	1.00	0.00	N	N	N	N	N	N	N	N	N	N	N	1	164.00	167.977	0
00070	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Blau	ipod mini in blau - NEU und original verpackt!!!		09/25/2005	10/02/2005	7	1	76	1.00	0.00	N	N	N	N	N	N	Y	N	N	N	N	1	158.00	161.512	0
00071	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Blau	Apple Ipod mini 4GB blau OVP		09/25/2005	10/02/2005	7	1	47	1.00	0.00	N	N	N	N	N	N	N	N	N	N	N	1	124.00	161.512	0
00072	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Pink	Apple iPod mini pink 4 GB mit Zubehör OVP Top Zustand		09/25/2005	10/02/2005	7	1	64	1.00	0.00	N	N	N	N	N	N	N	N	N	N	N	1	140.00	173.45	0
00073	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Grün	I pod mini *neu*		09/25/2005	10/02/2005	7	1	181	1.00	179.00	Y	N	N	N	Y	N	N	N	Y	N	N	1	153.99	164.757	0
00074	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber	Apple iPod Mini 4GB Silber NEU & OVP		09/25/2005	10/02/2005	7	1	153	1.00	0.00	N	N	N	N	N	N	N	N	N	N	N	1	157.00	167.977	0
00076	Audio & Hi-Fi:MP3-Player:Apple iPod:40 GB	Apple iPod Photo 40 GB - Top Zustand, OVP		09/25/2005	10/02/2005	7	1	34	1.00	0.00	N	Y	N	N	Y	N	Y	N	Y	N	N	1	300.00	221.153	1
00079	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Blau	Apple i-Pod mini		09/25/2005	10/02/2005	7	1	22	1.00	0.00	N	N	N	N	Y	N	N	N	N	N	N	1	171.00	161.512	1
00080	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber	iPod mini 4 GB silber originalverpackt		09/27/2005	10/02/2005	5	1	24	1.00	0.00	N	N	N	N	N	N	N	N	N	Y	N	1	165.00	167.977	0
00081	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber	iPod Mini Silber 4 GB mit Zubehör, Wie NEU!!		09/26/2005	10/03/2005	7	1	61	1.00	170.00	Y	Y	N	N	Y	N	Y	N	N	N	N	1	142.00	167.977	0
00084	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Blau	iPod Mini 4 GB blau + ITrip FM Transmitter + OVP		09/26/2005	10/01/2005	5	1	52	1.00	0.00	N	N	N	N	Y	N	N	N	N	Y	N	1	156.59	161.512	0
00085	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Pink	Apple IPOD mini pink neu 4 Gigabyte Mp3 Player itunes		09/26/2005	10/02/2005	6	9	113	190.00	0.00	N	N	N	N	N	N	N	N	N	N	N	1	190.00	173.45	1
00086	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber	MINI-IPOD 4 GB Silver, OVP+Rechnung		09/26/2005	10/06/2005	10	1	174	1.00	0.00	N	N	N	N	N	N	N	N	N	N	N	1	157.00	167.977	0
00087	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Blau	IPOD Mini 4GB+Armband+Dockingstation,noch 1JahrGarantie		09/26/2005	10/01/2005	5	1	62	1.00	0.00	N	N	N	N	Y	N	N	N	N	N	N	1	156.59	161.512	0
00089	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber	iPod mini 4GB silber neuwertig		09/26/2005	10/06/2005	10	1	40	1.00	0.00	N	N	N	N	N	N	N	N	N	N	N	1	151.00	167.977	0
00092	Audio & Hi-Fi:MP3-Player:Apple iPod:40 GB	iPod 4. Generation 40GB defekt + Dock Connector		09/26/2005	10/03/2005	7	1	63	1.00	0.00	N	N	N	N	N	N	N	N	N	N	N	1	126.99	221.153	0
00095	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Pink	Apple Mini iPod 4GB für PC und Mac Pink	zusätzlich mit  Dock-Station	09/27/2005	10/02/2005	5	1	2	1.00	0.00	N	Y	N	N	N	N	Y	N	N	Y	N	1	146.98	173.45	0
00096	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Grün	IPod mini 4GB grün	Apple IPod mini in grün mit 4 GB	09/26/2005	10/01/2005	5	1	31	1.00	0.00	N	N	N	N	N	N	N	N	N	N	N	1	166.01	164.757	1
00099	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Grün	Apple Ipod mini 4GB; neuwertig		09/26/2005	10/03/2005	7	1	2	1.00	0.00	N	Y	N	N	Y	N	Y	N	N	N	N	1	148.93	164.757	0
00100	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber	Ipod mini 4GB Silber top		09/26/2005	10/01/2005	5	1	60	1.00	0.00	N	N	N	N	N	N	N	N	N	N	N	1	136.00	167.977	0
00103	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber	iPod mini 4GB + LADEGERÄT! Sehr guter Zustand + OVP		09/27/2005	10/02/2005	5	1	3	1.00	0.00	N	N	N	N	Y	N	Y	N	N	Y	N	1	127.90	167.977	0
00109	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber	i pod mini 4GB in silber		09/27/2005	10/04/2005	7	1	52	1.00	0.00	N	N	N	N	N	N	N	N	N	N	N	1	151.00	167.977	0
00112	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Blau	Apple iPod MP3 mini Player 4GB blau statt 199,00 Euro	Sofort lieferbar bei Nachnahme sogar noch heute*	09/27/2005	10/04/2005	7	9	13782	176.00	0.00	N	N	N	N	Y	N	N	N	N	N	Y	4	176.00	161.512	1
00117	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber	iPod mini 4 GB Silber mit Garantie incl. Lederetui		09/27/2005	10/02/2005	5	1	44	1.00	0.00	N	Y	N	N	Y	N	Y	N	N	N	N	1	131.00	167.977	0
00118	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Blau	Apple iPod Mini 4GB blau	4 Monate alt mit Rechnung	09/27/2005	10/02/2005	5	1	58	1.00	0.00	N	N	N	N	N	N	N	N	N	N	N	1	131.00	161.512	0
00123	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber	Apple ipod Mini 4GB silber, originalverpackt, unbenutzt		09/28/2005	10/05/2005	7	1	11	1.00	0.00	N	N	N	N	Y	N	Y	N	N	Y	N	1	166.50	167.977	0
00127	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Blau	Apple iPod Mini * 4 GB * Blau * Neuwertig *		09/29/2005	10/09/2005	10	1	168	1.00	170.00	Y	N	N	N	Y	N	N	N	N	Y	N	1	151.00	161.512	0
00128	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber	Apple iPod MP3 mini Player 4GB silber statt 199 Euro		09/27/2005	10/04/2005	7	9	13786	179.00	0.00	N	N	N	N	N	N	N	N	N	N	N	1	179.00	167.977	1
00130	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber	Nagelneuer ipod Mini Silber 4 GB orig. Verpackt		09/28/2005	10/03/2005	5	1	51	1.00	0.00	N	Y	N	N	Y	N	Y	N	N	Y	N	1	169.69	167.977	1
00131	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Blau	Neuer Apple iPOT mini 4Gb     Mp3 player		09/28/2005	10/01/2005	3	1	26	1.00	0.00	N	N	N	N	Y	N	Y	N	N	Y	N	1	153.99	161.512	0
00135	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Blau	SOFORT LIEFERBAR: iPod mini 4GB blau NEU (kein nano)		09/28/2005	10/08/2005	10	1	135	1.00	0.00	N	N	N	N	N	N	N	N	N	N	N	1	156.89	161.512	0
00137	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber	Apple iPod Mini Silber - inkl. Fernbedienung und Hülle!		09/28/2005	10/05/2005	7	1	67	1.00	0.00	N	Y	N	N	Y	N	Y	N	N	N	N	1	162.00	167.977	0
00138	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber	Apple iPod Mini Silber - inkl. Fernbedienung und Hülle!		09/28/2005	10/05/2005	7	1	67	1.00	0.00	N	Y	N	N	Y	N	Y	N	N	Y	N	1	172.00	167.977	1
00142	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Grün	iPod mini - 4 GB, grün, NEUwertig + komlettes Zubehör!		09/28/2005	10/08/2005	10	1	79	1.00	0.00	N	Y	N	N	N	N	N	N	N	Y	N	1	152.36	164.757	0
00143	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber	iPod Mini 4GB silber - NEU & OVP		09/28/2005	10/05/2005	7	1	72	1.99	0.00	N	N	N	N	N	N	N	N	N	N	N	1	171.00	167.977	1
00145	Audio & Hi-Fi:MP3-Player:Apple iPod:40 GB	APPLE iPod  40 GB +  iTrip + AKG Kopfhörer + Etui		09/28/2005	10/06/2005	8	9	27	239.95	0.00	N	N	N	N	N	N	Y	N	N	N	N	1	239.95	221.153	1
00146	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber	Apple iPod Mini 4GB silber+ iSkin Exo3 mini Schutzhülle		09/28/2005	10/08/2005	10	1	22	1.00	0.00	N	Y	N	N	Y	N	N	N	N	N	N	1	146.00	167.977	0
00148	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber	IPOD MINI 4GB / NAGELNEU DIREKT VON APPLE !	IPOD MiNI NEUSTE GENERATION !	09/28/2005	10/05/2005	7	1	296	1.00	0.00	N	N	N	N	Y	N	N	N	N	N	N	1	164.00	167.977	0
00150	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Pink	Apple iPod mini, 4GB in pink		09/28/2005	10/03/2005	5	1	110	50.00	0.00	N	N	N	N	N	N	N	N	N	N	N	1	157.65	173.45	0
00152	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber	Apple iPod mini 4GB silber USB FireWire PC MAC *OVP*		09/29/2005	10/09/2005	10	1	283	1.00	149.00	Y	N	N	N	Y	N	Y	N	N	Y	N	1	131.00	167.977	0
00153	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Blau	Original APPLE iPod Blue**1. Gen.**NEU*OVP*		09/28/2005	10/05/2005	7	1	11	50.00	0.00	N	Y	N	N	Y	N	N	N	N	N	N	1	141.02	161.512	0
00154	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Grün	 OVP IPOD 4GB NEU  NEU 		09/29/2005	10/09/2005	10	1	30	1.00	0.00	N	N	N	N	Y	N	N	N	N	N	N	1	151.00	164.757	0
00155	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber	Apple iPod mini 4GB silber / silver		09/29/2005	10/09/2005	10	1	5	1.00	0.00	N	N	N	N	N	N	N	N	N	N	N	1	158.56	167.977	0
00157	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber	Apple iPod Mini 4GB in silber		10/02/2005	10/09/2005	7	1	488	100.00	0.00	N	N	N	N	N	N	Y	N	N	Y	N	1	131.11	167.977	0
00159	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Blau	Apple iPod mini Tragbarer MP3-Player 4GB Blue		09/29/2005	10/06/2005	7	1	97	1.00	0.00	N	N	N	N	Y	N	N	N	N	N	N	1	166.10	161.512	1
00160	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Grün	Apple iPod mini Grün  2. Generation OVP + Rechnung	+ viel Zubehör (Boostaroo, Shure Kopfhörer!!......)	09/29/2005	10/06/2005	7	1	105	1.00	0.00	N	N	N	N	N	N	N	N	N	Y	N	1	177.00	164.757	1
00161	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Blau	Ipod Mini 4 GB Blau fast NEU/OVP + Zubehör und Garantie		09/29/2005	10/02/2005	3	1	58	1.00	0.00	N	N	N	N	Y	N	N	N	N	Y	N	1	151.00	161.512	0
00162	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber	Apple iPod Mini, MP3 Player, silber, 4 GB, Mac/Windows	Neu! Keine Gebrauchsspuren, Originalverp. und Garantie!	09/29/2005	10/09/2005	10	1	56	49.95	169.00	Y	N	N	N	Y	N	Y	N	N	Y	Y	1	158.89	167.977	0
00167	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber	ipod mini *neuwertig* in OVP mit Autoladekabel	gekauft am 15.07.2005 (mit Rechnung)	09/29/2005	10/09/2005	10	1	113	1.00	0.00	N	N	N	N	Y	N	N	N	N	Y	N	1	161.01	167.977	0
00169	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Grün	iPod mini (grün) Gerät 4 GB - 1000 Songs in OVP w. NEU		09/29/2005	10/09/2005	10	1	661	1.99	0.00	N	N	N	N	Y	N	N	N	N	N	N	1	159.99	164.757	0
00170	Audio & Hi-Fi:MP3-Player:Apple iPod:40 GB	== iPod 3 Generation (beste) == 40GB == TOP und OVP		09/29/2005	10/08/2005	9	9	60	259.00	0.00	N	N	N	N	Y	N	Y	N	N	N	N	1	259.00	221.153	1
00173	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Pink	Ipod Mini 4GB! PINK wie neu + Zubehör!		10/02/2005	10/09/2005	7	1	28	90.99	0.00	N	N	N	N	Y	N	Y	N	N	Y	N	1	187.00	173.45	1
00174	Audio & Hi-Fi:MP3-Player:Apple iPod:40 GB	Original IPog 40GB Klickwheel letztes Modell		09/29/2005	10/02/2005	3	1	33	1.00	0.00	N	N	N	N	N	N	N	N	N	N	N	1	228.77	221.153	1
00176	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber	Apple iPod mini 4GB  silber *unbenutzt		09/29/2005	10/02/2005	3	1	26	99.00	0.00	N	N	N	N	N	N	N	N	N	N	N	1	137.00	167.977	0
00179	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber	IPOD Mini 4GB Silver, incl. Zubehör		09/29/2005	10/02/2005	3	1	65	1.00	0.00	N	N	N	N	N	N	N	N	N	N	N	1	124.99	167.977	0
00182	Audio & Hi-Fi:MP3-Player:Apple iPod:40 GB	iPod Photo 40GB, Top-Zubehör, erst 9 Monate alt, uvm...	itrip, italk, power pod, In-Ear Headph., KFZ-Halterung	09/29/2005	10/04/2005	5	1	327	1.00	0.00	N	Y	N	N	N	N	Y	N	Y	N	N	1	302.01	221.153	1
00183	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber	APPLE iPod MINI  4GB Mac + Win USB 2.0 NEU		09/29/2005	10/04/2005	5	1	167	1.00	185.00	Y	N	N	N	Y	N	Y	N	N	N	N	1	157.09	167.977	0
00185	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Blau	Apple IPod 4Gb blau -  Originalverpackt		09/29/2005	10/04/2005	5	1	27	1.99	0.00	N	N	N	N	N	N	Y	N	N	N	N	1	135.00	161.512	0
00187	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber	Apple iPod Mini Silber 4GB OVP -NEU-    Garantie		09/29/2005	10/09/2005	10	1	36	1.00	0.00	N	N	N	N	N	N	N	N	N	N	N	1	159.00	167.977	0
00188	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Blau	iPod mini 4GB Neu originalverpackt		09/29/2005	10/09/2005	10	1	11	1.00	0.00	N	N	N	N	N	N	N	N	N	N	N	1	153.00	161.512	0
00189	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Blau	Ipod Mini 4 GB, 4 Monate alt, aber Top Zustand !!!		10/02/2005	10/09/2005	7	1	5	1.00	0.00	N	N	N	N	N	N	N	N	N	Y	N	1	141.99	161.512	0
00190	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber	Apple iPod Mini 4 GB - Silber - NEU - Ungeöffnet - OVP	Bis zu 1000 songs!!! Passt perfekt in die Hosentasche!!	09/29/2005	10/09/2005	10	9	1324	179.00	0.00	N	N	N	N	Y	N	N	N	Y	N	N	8	179.00	167.977	1
