auct_id,listing_title_lowercase,listing_subtitle_lowercase,listing_title_lowercase_contains_new,listing_subtitle_lowercase_contains_new,listing_title_lowercase_contains_ovp,listing_title_lowercase_contains_black,listing_title_lowercase_contains_silver,listing_title_lowercase_contains_white,listing_title_lowercase_contains_green,listing_title_lowercase_contains_pink,listing_title_lowercase_contains_blue,listing_title_lowercase_contains_photo,listing_title_lowercase_contains_bussword,listing_title_lowercase_contains_invoice,listing_title_lowercase_contains_video,listing_title_lowercase_contains_warrenty,listing_title_lowercase_contains_colordisplay,listing_title_lowercase_contains_original,listing_title_lowercase_contains_verschweißt,listing_title_lowercase_contains_dock,listing_title_lowercase_contains_alt,listing_title_lowercase_contains_songs,listing_title_lowercase_contains_verpackt,listing_title_lowercase_contains_bag
26,"apple ipod mini 4 gb silber mac/windows dt. 2005 2.gen.","","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
27,"ipod mini 4gb mit zubehör !!!","","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
29,"apple ipod mini 4gb mit zubehör und itrip","","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
31,"apple ipod mini pink 4gb / 2. generation","","F","F","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
32,"**apple i pod photo 40gb**top-zustand**","","F","F","F","F","F","F","F","F","F","W","W","F","F","F","F","F","F","F","F","F","F","F"
35,"i-pod mini (super preis)","so gut wie neu","F","W","F","F","F","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F"
36,"ipod mini 4 gb, silber - top zustand","","F","F","F","F","W","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F"
37,"apple ipod mini 4 gb - 1000 songs pc + mac","","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","W","F","F"
39,"i pod mini  4 gb  blue gerät  neu","","W","F","F","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F"
40,"apple ipod! 40 gb! 3. gen.! wie neu! top gepflegt!","","W","F","F","F","F","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F"
43,"*** ipod mini 4gb rosa***","","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
45,"apple ipod mini, 4gb - grün, super gepflegt","","F","F","F","F","F","F","W","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F"
46,"ipod mini 4gb","","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
48,"apple ipod mini pink - neu + rechnung","","W","F","F","F","F","F","F","W","F","F","F","W","F","F","F","F","F","F","F","F","F","F"
49,"ipod mini m. dock und ledertasche!! ->für salsa-freunde","","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","W","F","F","F","W"
52,"apple ipod mini blau 4gb ***wie neu*** in ovp","","W","F","W","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F"
61,"ipod mini - silber - neu","","W","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
63,"neu apple ipod mini 4gb gold neu","","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
64,"+++ ipod mini 4 gb silber neues modell garantie +++","","W","F","F","F","W","F","F","F","F","F","F","F","F","W","F","F","F","F","F","F","F","F"
65,"apple ipod mini 4 gb *neu* & #ovp# 2 jahre garantie","","W","F","W","F","F","F","F","F","F","F","F","F","F","W","F","F","F","F","F","F","F","F"
66,"apple ipod mini *silber* mit viel zubehör","","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
67,"apple ipod mini 4 gb silver neu und garantie","","W","F","F","F","W","F","F","F","F","F","F","F","F","W","F","F","F","F","F","F","F","F"
70,"ipod mini in blau - neu und original verpackt!!!","","W","F","F","F","F","F","F","F","W","F","F","F","F","F","F","W","F","F","F","F","W","F"
71,"apple ipod mini 4gb blau ovp","","F","F","W","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F"
72,"apple ipod mini pink 4 gb mit zubehör ovp top zustand","","F","F","W","F","F","F","F","W","F","F","W","F","F","F","F","F","F","F","F","F","F","F"
73,"i pod mini *neu*","","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
74,"apple ipod mini 4gb silber neu & ovp","","W","F","W","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
76,"apple ipod photo 40 gb - top zustand, ovp","","F","F","W","F","F","F","F","F","F","W","W","F","F","F","F","F","F","F","F","F","F","F"
79,"apple i-pod mini","","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
80,"ipod mini 4 gb silber originalverpackt","","F","F","W","F","W","F","F","F","F","F","F","F","F","F","F","W","F","F","F","F","W","F"
81,"ipod mini silber 4 gb mit zubehör, wie neu!!","","W","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
84,"ipod mini 4 gb blau + itrip fm transmitter + ovp","","F","F","W","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F"
85,"apple ipod mini pink neu 4 gigabyte mp3 player itunes","","W","F","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
86,"mini-ipod 4 gb silver, ovp+rechnung","","F","F","W","F","W","F","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F"
87,"ipod mini 4gb+armband+dockingstation,noch 1jahrgarantie","","F","F","F","F","F","F","F","F","F","F","F","F","F","W","F","F","F","W","F","F","F","F"
89,"ipod mini 4gb silber neuwertig","","W","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
92,"ipod 4. generation 40gb defekt + dock connector","","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","W","F","F","F","F"
95,"apple mini ipod 4gb für pc und mac pink","zusätzlich mit  dock-station","F","F","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
96,"ipod mini 4gb grün","apple ipod mini in grün mit 4 gb","F","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
99,"apple ipod mini 4gb; neuwertig","","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
100,"ipod mini 4gb silber top","","F","F","F","F","W","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F"
103,"ipod mini 4gb + ladegerät! sehr guter zustand + ovp","","F","F","W","F","F","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F"
109,"i pod mini 4gb in silber","","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
112,"apple ipod mp3 mini player 4gb blau statt 199,00 euro","sofort lieferbar bei nachnahme sogar noch heute*","F","F","F","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F"
117,"ipod mini 4 gb silber mit garantie incl. lederetui","","F","F","F","F","W","F","F","F","F","F","F","F","F","W","F","F","F","F","F","F","F","F"
118,"apple ipod mini 4gb blau","4 monate alt mit rechnung","F","F","F","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F"
123,"apple ipod mini 4gb silber, originalverpackt, unbenutzt","","F","F","W","F","W","F","F","F","F","F","F","F","F","F","F","W","F","F","F","F","W","F"
127,"apple ipod mini * 4 gb * blau * neuwertig *","","W","F","F","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F"
128,"apple ipod mp3 mini player 4gb silber statt 199 euro","","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
130,"nagelneuer ipod mini silber 4 gb orig. verpackt","","W","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","W","F"
131,"neuer apple ipot mini 4gb     mp3 player","","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
135,"sofort lieferbar: ipod mini 4gb blau neu (kein nano)","","W","F","F","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F"
137,"apple ipod mini silber - inkl. fernbedienung und hülle!","","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
138,"apple ipod mini silber - inkl. fernbedienung und hülle!","","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
142,"ipod mini - 4 gb, grün, neuwertig + komlettes zubehör!","","W","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
143,"ipod mini 4gb silber - neu & ovp","","W","F","W","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
145,"apple ipod  40 gb +  itrip + akg kopfhörer + etui","","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
146,"apple ipod mini 4gb silber+ iskin exo3 mini schutzhülle","","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
148,"ipod mini 4gb / nagelneu direkt von apple !","ipod mini neuste generation !","W","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
150,"apple ipod mini, 4gb in pink","","F","F","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
152,"apple ipod mini 4gb silber usb firewire pc mac *ovp*","","F","F","W","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
153,"original apple ipod blue**1. gen.**neu*ovp*","","W","F","W","F","F","F","F","F","W","F","F","F","F","F","F","W","F","F","F","F","F","F"
154," ovp ipod 4gb neu  neu ","","W","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
155,"apple ipod mini 4gb silber / silver","","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
157,"apple ipod mini 4gb in silber","","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
159,"apple ipod mini tragbarer mp3-player 4gb blue","","F","F","F","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F"
160,"apple ipod mini grün  2. generation ovp + rechnung","+ viel zubehör (boostaroo, shure kopfhörer!!......)","F","F","W","F","F","F","W","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F"
161,"ipod mini 4 gb blau fast neu/ovp + zubehör und garantie","","W","F","W","F","F","F","F","F","W","F","F","F","F","W","F","F","F","F","F","F","F","F"
162,"apple ipod mini, mp3 player, silber, 4 gb, mac/windows","neu! keine gebrauchsspuren, originalverp. und garantie!","F","W","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
167,"ipod mini *neuwertig* in ovp mit autoladekabel","gekauft am 15.07.2005 (mit rechnung)","W","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
169,"ipod mini (grün) gerät 4 gb - 1000 songs in ovp w. neu","","W","F","W","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","W","F","F"
170,"== ipod 3 generation (beste) == 40gb == top und ovp","","F","F","W","F","F","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F"
173,"ipod mini 4gb! pink wie neu + zubehör!","","W","F","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
174,"original ipog 40gb klickwheel letztes modell","","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","W","F","F","F","F","F","F"
176,"apple ipod mini 4gb  silber *unbenutzt","","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
179,"ipod mini 4gb silver, incl. zubehör","","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
182,"ipod photo 40gb, top-zubehör, erst 9 monate alt, uvm...","itrip, italk, power pod, in-ear headph., kfz-halterung","F","F","F","F","F","F","F","F","F","W","W","F","F","F","F","F","F","F","W","F","F","F"
183,"apple ipod mini  4gb mac + win usb 2.0 neu","","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
185,"apple ipod 4gb blau -  originalverpackt","","F","F","W","F","F","F","F","F","W","F","F","F","F","F","F","W","F","F","F","F","W","F"
187,"apple ipod mini silber 4gb ovp -neu-    garantie","","W","F","W","F","W","F","F","F","F","F","F","F","F","W","F","F","F","F","F","F","F","F"
188,"ipod mini 4gb neu originalverpackt","","W","F","W","F","F","F","F","F","F","F","F","F","F","F","F","W","F","F","F","F","W","F"
189,"ipod mini 4 gb, 4 monate alt, aber top zustand !!!","","F","F","F","F","F","F","F","F","F","F","W","F","F","F","F","F","F","F","W","F","F","F"
190,"apple ipod mini 4 gb - silber - neu - ungeöffnet - ovp","bis zu 1000 songs!!! passt perfekt in die hosentasche!!","W","F","W","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
191,"@@@@apple ipod mini + zubehör 3 monate alt wie neu@@@@@","","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","W","F","F","F"
193,"ipod mini 4 gb mit viel zubehör ! neuwertig !","mit altec lansing stereo boxen + itrip fürs auto!! neu","W","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
194,"sofort lieferbar: ipod mini 4gb blau neu (kein nano)","","W","F","F","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F"
198,"+++ i pod mini 4gb +++","","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
200,"ipod photo 40 gb sennheiser px 100 griffin stöpsel /240","","F","F","F","F","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F"
202,"apple ipod mini - pink - mit garantie xxl zubehör paket","","F","F","F","F","F","F","F","W","F","F","F","F","F","W","F","F","F","F","F","F","F","F"
204,"ipod mini 4gb silber","","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
205,"ipod mini pink+hangphones+ isee mini+ usb+ firewire","","F","F","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
207,"aplle ipod mini 4gb grün top+top+top","unbedingt reinschauen !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!","F","F","F","F","F","F","W","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F"
208,"ipod mini in silber 4 gb","","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
209,"mega i-pod von s-oliver ;limited,nicht im hándel","","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
210,"apple ipod mini in silber, 4gb, neu & mit ovp","mit kompletten zubehör & restgarantie","W","F","W","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
211,"apple ipod mini 4 gb! i pod! mp3 player! top!","","F","F","F","F","F","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F"
213,"apple ipod mini 4 gb silber + top zubehör","","F","F","F","F","W","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F"
216,"**apple i pod photo 40gb**top-zustand**","","F","F","F","F","F","F","F","F","F","W","W","F","F","F","F","F","F","F","F","F","F","F"
217,"neuwertig ipod mini silber  (aktuelles modell)","","W","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
218,"ipod mini 4gb","","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
219,"apple ipod 3.generation 40gb / 3. generation 40 gb","inklusive sehr sehr vielen aktuellen alben und podgear","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
221,"apple ipod mp3 mini musicplayer 4gb pink statt 199 euro","","F","F","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","W","F","F"
222,"apple ipod mini grün mit netzteil - absolut neuwertig","","W","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
224,"+++ ipod mini 4gb grün, 3 monate alt, ovp, i-pod +++","mit original zubehör & rechnung! kaufdatum: 04.07.2005!","F","F","W","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","W","F","F","F"
225,"apple ipod mini 2","2. generation silber nagelneu","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
226,"neu  apple ipod mini mp 3- player 4gb silver !","","W","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
227,"appel ipod foto 40gb wie neu","","W","F","F","F","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F"
229,"apple ipod mini - 4gb- silber","","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
236,"apple ipod mini silber, neuwertig mit zubehör !","","W","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
239,"apple ipod mini silber 4gb ii. gener. neu & opv","","W","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
240,"neuer ipod - mini 4 gb, silber m. re + gar.","","W","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
241,"apple ipod mini, 4gb - silber, super gepflegt","","F","F","F","F","W","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F"
242,"apple ipod mini, 4 gb, silber, neu in der ovp","","W","F","W","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
245,"neuwertiger ipod mini 4gb ovp mit lederetui!","","W","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
246,"apple ipod mini 4 gb silber ovp","","F","F","W","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
248,"ipod mini - 4gb silber - neu - original verpackt","","W","F","F","F","W","F","F","F","F","F","F","F","F","F","F","W","F","F","F","F","W","F"
249,"apple ipod mini ** gold ** sehr edel!","wie neu · rechnung · ovp · top zustand","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
250,"apple ipod 4gb in grün neu+ovp!! händler !!*","nagelneu & originalverpackt+ herstellergarantie 24 mon","W","W","W","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
251,"apple ipod 4gb in grün neu+ovp!! händler !!*","nagelneu & originalverpackt+ herstellergarantie 24 mon","W","W","W","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
255,"apple ipod mini","","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
256,"ipod mini silber 4 gb","","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
257,"apple ipod mini 4gb","","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
259,"ipod mini (4gb silber neu)","","W","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
261,"ipod mini 4gb (silver) neu","","W","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
262,"ipod mini 3mon.alt rech.ovp+ itrip+lade+kfz+ibuds+skins","","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","W","F","F","F"
263,"orig. apple ipod mini 4gb wie neu pink ovp & rechnung","","W","F","W","F","F","F","F","W","F","F","F","W","F","F","F","F","F","F","F","F","F","F"
265,"ipod mini 4gb silber absolut neuwertig garantie ovp","keine versandkosten!!!!!!!","W","F","W","F","W","F","F","F","F","F","F","F","F","W","F","F","F","F","F","F","F","F"
266,"*** ípod mini - neu - unbenutzt - garantie - blau ***","","W","F","F","F","F","F","F","F","W","F","F","F","F","W","F","F","F","F","F","F","F","F"
268,"ipod mini, 4gb, silber","","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
269,"ipod mini in silber 1 x benutzt mit schutzhülle","rechnung inkl. - kaufdatum: 05.08.2005","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
271,"apple ipod mini 4gb silber inkl. fm-transmitter","","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
272,"ipod mini 4 gb , 8 mon. alt, plus fm transmitter/ radio","","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","W","F","F","F"
274,"apple ipod mini * 4gb * silber * in org. verpackung","","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
275,"ipod  mini 4gb 1000songs pc+mac","","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","W","F","F"
276,"ipod 40gb, 4. generation, super zustand, mit zubehör","","F","F","F","F","F","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F"
277,"apple ipod mini 4 gb silber, neu (günstiger versand!)","","W","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
278,"neuwertiger ipod mini silber","","W","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
279,"apple ipod mini, silber, 4gb, inkl. viel zubehör","+ unben. ipod kopfhörer + ipod remote fernbedienung ovp","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
280,"ipod mini 4 gb","","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
281,"ipod mini 4gb blau neu&ovp, ungeöffnet, i pod mini 4 gb","","W","F","W","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F"
282,"apple ipod mini 4gb pink; neuwertig","","W","F","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
284,"ipod-mini silber, 3 monate alt, originalverpackung, top","","F","F","F","F","W","F","F","F","F","F","W","F","F","F","F","W","F","F","W","F","F","F"
285,"apple ipod 40 gb 4. generation","","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
287,"ipod mini 4gb *ovp*","","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
288," original apple ipod mini (pink)-  super zustand -","+ zubehör + rg. + originalverpackt","F","F","F","F","F","F","F","W","F","F","W","F","F","F","F","W","F","F","F","F","F","F"
290,"apple ipod mini silber 4 gb wie neu","","W","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
292,"apple ipod photo 40gb","","F","F","F","F","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F"
296,"apple ipod mini blau mit ovp ++wie neu++","","W","F","W","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F"
306,"apple ipod mini 4 gb blau (kein nano o. photo) wie neu","","W","F","F","F","F","F","F","F","W","W","F","F","F","F","F","F","F","F","F","F","F","F"
311,"apple ipod mini 4 gb silber, neu & ovp!inkl. ladegerät!","","W","F","W","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
312,"apple ipod mini+++blau+++4gb+++ovp+++inkl. ladegerät","","F","F","W","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F"
318,"ipod mini - silber","","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
321,"apple ipod mini  4 gb in blau / mp3 player / neu & ovp","","W","F","W","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F"
322,"apple ipod mini 4 gb blau wie neu+rechnung+skin+garanti","","W","F","F","F","F","F","F","F","W","F","F","W","F","F","F","F","F","F","F","F","F","F"
323,"apple ipod blau + viel zubehör / reinschauen / ovp","","F","F","W","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F"
324,"ipod 40 gb *neu* ovp 4.generation + extrazubehör","","W","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
326,"apple ipod mini silber  neu ovp  4 gb  eingeschweisst","","W","F","W","F","W","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
329,"ipod mini 4gb silber neu","","W","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
331,"neu!apple ipodmini 4gb!neu!ovp! model 2005! 2generation","","W","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
332,"apple ipod mp3 mini player 4gb silber statt 199 euro","","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
