auct_id,gms_greater_avg,item_leaf_category_name_color_category,item_leaf_category_gigabytes,start_prive > avg,start_price_is_default,schedule_fee_flag,listing_type_code_9,listing_type_code_1,listing_title_lowercase_contains_silver,listing_title_lowercase_contains_ovp,listing_title_lowercase_contains_new,listing_title_lowercase_contains_black,listing_title_lowercase_contains_apple,_contains_gen,item_leaf_category_name_article_category_meta_category_nano,item_leaf_category_name_article_category_meta_category_mini,item_leaf_category_name_article_category_meta_category_classic,is_24_days_before_weihnachten,ipix_featured_fee_flag,gallery_fee_flag,feedback > avg,buy_it_now_listed_flag,buy_it_now > gms_avg,bold_fee_flag,start_price_LogN,qty_available_per_listing_Invers,listing_start_date_month,listing_start_date_day,listing_end_date_month,listing_end_date_day,listing_durtn_days_LogN,feedback_score_at_listing_time_Log10,days_between_weihnachten_2005_Log10,buy_it_now_price_LogN
5163,"W",7,4,"W","F","Y","W","F","W","F","F","F","F","F","F","W","F","W","N","N","F","N","F","N",5.164786,1.000000,12,31,1,1,0.000000,2.068186,,0.000000
8832,"F",7,4,"F","W","N","F","W","F","F","F","F","F","F","F","W","F","W","Y","Y","F","N","F","Y",0.000000,1.000000,2,26,3,5,1.945910,1.431364,,0.000000
13520,"F",5,20,"F","W","N","F","W","F","F","F","F","F","W","F","F","W","W","Y","N","F","N","F","N",0.000000,1.000000,12,29,12,30,0.000000,1.544068,,0.000000
5062,"F",4,4,"F","W","Y","F","W","F","F","F","F","F","F","F","W","F","W","N","N","F","N","F","N",0.000000,1.000000,12,29,1,8,2.302585,2.100371,,0.000000
12128,"W",8,4,"F","W","Y","F","W","F","W","W","F","W","F","F","W","F","F","N","N","W","N","F","N",0.000000,1.000000,11,24,12,4,2.302585,2.181844,1.477121,0.000000
8405,"F",5,2,"F","W","N","F","W","F","W","W","F","W","F","W","F","F","W","N","N","F","N","F","N",0.000000,1.000000,2,19,2,26,1.945910,1.863323,,0.000000
1862,"F",7,4,"F","W","N","F","W","W","F","W","F","W","F","F","W","F","F","N","N","F","N","F","Y",0.000000,1.000000,11,13,11,20,1.945910,2.530200,1.612784,0.000000
5425,"W",7,4,"F","W","N","F","W","W","W","W","F","W","F","F","W","F","W","N","Y","F","N","F","N",0.000000,1.000000,1,5,1,15,2.302585,2.214844,,0.000000
6779,"W",7,4,"F","W","N","F","W","W","W","W","F","W","F","F","W","F","W","N","Y","F","N","F","N",0.000000,1.000000,1,26,2,5,2.302585,2.235528,,0.000000
10822,"F",7,6,"F","W","N","F","W","F","W","W","F","W","F","F","W","F","F","N","Y","W","N","F","N",0.000000,1.000000,10,19,10,24,1.609438,3.532754,1.819544,0.000000
3961,"F",5,4,"F","W","N","F","W","F","W","W","W","F","F","W","F","F","W","N","N","F","Y","F","N",0.000000,1.000000,12,13,12,13,,1.897627,1.041393,5.241747
9363,"W",7,4,"F","W","N","F","W","W","F","F","F","W","F","F","W","F","W","N","N","F","N","F","N",0.000000,1.000000,3,6,3,11,1.609438,1.361728,,0.000000
15678,"F",5,30,"F","W","Y","F","W","F","F","F","F","W","F","F","F","W","W","Y","Y","F","N","F","N",0.000000,1.000000,3,7,3,14,1.945910,1.690196,,0.000000
14636,"W",7,6,"F","W","Y","F","W","F","F","F","F","W","F","F","W","F","W","N","N","F","N","F","N",0.000000,1.000000,1,31,2,5,1.609438,2.307496,,0.000000
10079,"W",5,20,"F","W","N","F","W","F","F","F","F","W","F","F","F","W","F","N","Y","F","N","F","N",0.000000,1.000000,9,29,10,9,2.302585,2.232996,1.934498,0.000000
15205,"F",5,20,"F","F","N","F","W","F","F","F","F","W","F","F","F","W","W","Y","N","F","N","F","N",4.867534,1.000000,2,16,2,26,2.302585,0.000000,,0.000000
14382,"W",5,30,"F","W","N","F","W","F","W","W","F","W","W","F","F","W","W","N","N","F","N","F","N",0.000000,1.000000,1,24,1,29,1.609438,2.164353,,0.000000
3931,"W",7,4,"F","W","N","F","W","W","F","F","F","W","F","F","W","F","W","Y","Y","F","N","F","N",0.000000,1.000000,12,12,12,17,1.609438,1.041393,1.079181,0.000000
6523,"F",7,4,"F","W","Y","F","W","W","F","F","F","W","F","F","W","F","W","Y","Y","F","N","F","N",0.000000,1.000000,1,22,1,29,1.945910,2.193125,,0.000000
9775,"F",7,4,"F","W","N","F","W","W","F","F","F","W","F","F","W","F","W","N","Y","F","N","F","Y",0.000000,1.000000,3,13,3,20,1.945910,1.556303,,0.000000
4441,"W",7,4,"F","W","N","F","W","W","F","W","F","W","F","F","W","F","W","Y","N","F","N","F","N",0.000000,1.000000,12,18,12,23,1.609438,1.431364,0.778151,0.000000
10136,"W",5,20,"W","F","N","W","F","F","F","F","F","W","W","F","F","W","F","Y","Y","F","N","F","N",5.393582,1.000000,9,30,10,2,0.693147,1.690196,1.929419,0.000000
6104,"F",5,4,"F","W","Y","F","W","F","F","W","F","W","F","W","F","F","W","Y","Y","F","N","F","Y",0.000000,1.000000,1,15,1,22,1.945910,2.303196,,0.000000
2740,"F",5,4,"F","W","N","F","W","F","W","W","F","W","F","W","F","F","F","Y","Y","F","N","F","N",0.000000,1.000000,11,27,12,2,1.609438,1.591065,1.431364,0.000000
8633,"W",5,2,"F","W","Y","F","W","F","F","W","F","W","F","W","F","F","W","Y","Y","F","N","F","Y",0.000000,1.000000,2,23,2,28,1.609438,1.113943,,0.000000
2980,"W",5,4,"W","F","N","W","F","F","F","F","F","W","F","W","F","F","W","N","Y","W","N","F","N",5.347108,1.000000,12,1,12,1,,3.652150,1.361728,0.000000
3606,"W",5,4,"W","F","N","W","F","F","F","F","F","W","F","W","F","F","W","N","N","W","N","F","N",5.347108,1.000000,12,9,12,12,1.098612,3.660486,1.176091,0.000000
6777,"W",5,4,"W","F","N","W","F","F","W","W","W","W","F","W","F","F","W","N","Y","F","N","F","N",5.598385,1.000000,1,26,1,26,,2.545307,,0.000000
8504,"F",5,4,"F","W","N","F","W","F","F","W","F","W","F","W","F","F","W","N","N","F","N","F","N",0.000000,1.000000,2,20,2,21,0.000000,2.511883,,0.000000
7523,"W",5,4,"F","W","N","F","W","F","F","W","W","W","F","W","F","F","W","N","N","F","N","F","N",0.000000,1.000000,2,5,2,8,1.098612,2.509203,,0.000000
8160,"F",5,4,"F","W","N","F","W","F","F","W","W","W","F","W","F","F","W","N","N","F","N","F","N",0.000000,1.000000,2,15,2,20,1.609438,2.511883,,0.000000
4783,"F",5,4,"F","F","N","F","W","F","F","W","W","W","F","W","F","F","W","N","N","F","N","F","N",5.135798,1.000000,12,22,12,25,1.098612,0.000000,0.301030,0.000000
6750,"F",6,4,"F","W","N","F","W","F","F","F","F","W","F","F","W","F","W","Y","Y","F","N","F","Y",0.000000,1.000000,1,25,2,4,2.302585,1.414973,,0.000000
7522,"W",5,4,"F","W","N","F","W","F","F","W","W","W","F","W","F","F","W","N","N","F","N","F","N",0.000000,1.000000,2,5,2,8,1.098612,2.509203,,0.000000
11658,"W",5,30,"W","F","N","W","F","F","F","W","F","W","W","F","F","W","F","N","Y","F","N","F","N",5.616771,1.000000,11,12,11,12,,2.232996,1.623249,0.000000
13533,"W",5,20,"F","W","N","F","W","F","W","W","F","F","F","F","F","W","W","N","Y","F","N","F","Y",0.000000,1.000000,12,29,1,5,1.945910,2.665581,,0.000000
14763,"W",5,20,"F","W","N","F","W","F","W","W","F","F","F","F","F","W","W","N","Y","F","N","F","Y",0.000000,1.000000,2,3,2,6,1.098612,2.678518,,0.000000
1050,"F",7,4,"F","W","N","F","W","W","W","W","F","F","F","F","W","F","F","Y","N","F","N","F","N",0.000000,1.000000,10,23,10,30,1.945910,2.120574,1.792392,0.000000
5402,"W",7,4,"W","F","N","F","W","F","F","F","F","F","F","F","W","F","W","Y","N","F","Y","W","N",5.010635,1.000000,1,5,1,6,0.000000,1.462398,,5.347108
13082,"W",5,20,"F","W","Y","F","W","F","F","F","F","F","F","F","F","W","W","N","Y","F","N","F","N",0.000000,1.000000,12,15,12,18,1.098612,1.518514,0.954243,0.000000
9341,"F",5,40,"F","W","N","F","W","F","F","F","F","F","F","F","F","W","W","Y","N","F","N","F","N",0.000000,1.000000,3,5,3,8,1.098612,2.193125,,0.000000
13208,"W",5,30,"F","F","N","F","W","F","W","F","F","F","W","F","F","W","W","N","N","F","Y","W","N",4.605170,1.000000,12,17,12,18,0.000000,1.806180,0.845098,5.634790
14333,"F",5,30,"F","W","N","F","W","F","F","F","F","F","F","F","F","W","W","Y","N","F","N","F","Y",0.000000,1.000000,1,22,1,29,1.945910,0.698970,,0.000000
545,"W",5,40,"F","W","Y","F","W","F","F","F","F","F","W","F","F","W","F","Y","Y","F","Y","W","Y",0.000000,1.000000,10,11,10,18,1.945910,1.000000,1.869232,5.686975
8227,"F",5,40,"F","W","N","F","W","F","W","F","F","F","W","F","F","W","W","Y","Y","F","N","F","Y",0.000000,1.000000,2,16,2,19,1.098612,0.000000,,0.000000
4901,"W",7,4,"W","F","N","W","F","F","W","W","F","F","W","F","W","F","W","N","N","F","N","F","N",5.293305,1.000000,12,25,12,26,0.000000,2.660865,,0.000000
3081,"W",7,4,"F","F","Y","F","W","F","F","F","F","F","F","F","W","F","W","Y","Y","F","N","F","Y",4.605170,1.000000,12,2,12,12,2.302585,1.204120,1.342423,0.000000
6723,"F",5,4,"F","W","N","F","W","F","F","W","W","W","F","W","F","F","W","N","Y","F","Y","F","N",0.000000,1.000000,1,25,2,4,2.302585,2.113943,,5.187386
7619,"F",5,4,"F","W","Y","F","W","F","F","W","F","F","F","W","F","F","W","N","Y","F","N","F","N",0.000000,1.000000,2,6,2,9,1.098612,2.413300,,0.000000
14913,"F",5,30,"F","W","N","F","W","F","F","F","W","F","F","F","F","W","W","N","N","F","N","F","N",0.000000,1.000000,2,7,2,14,1.945910,2.008600,,0.000000
12185,"F",5,30,"F","F","N","W","F","F","F","W","F","W","F","F","F","W","F","N","N","F","N","F","N",5.389072,0.250000,11,25,11,25,,2.123852,1.462398,0.000000
6947,"F",6,4,"F","W","N","F","W","F","F","W","F","F","F","F","W","F","W","N","Y","F","N","F","N",0.000000,1.000000,1,28,2,2,1.609438,0.000000,,0.000000
288,"F",6,4,"F","W","N","F","W","F","F","F","F","W","F","F","W","F","F","Y","Y","F","Y","F","Y",0.000000,1.000000,10,3,10,3,,1.431364,1.913814,4.828314
154,"F",4,4,"F","W","N","F","W","F","W","W","F","F","F","F","W","F","F","N","Y","F","N","F","N",0.000000,1.000000,9,29,10,9,2.302585,1.477121,1.934498,0.000000
6385,"W",7,4,"F","W","N","F","W","W","F","W","F","W","F","F","W","F","W","Y","Y","F","N","F","N",0.000000,1.000000,1,19,1,24,1.609438,1.869232,,0.000000
2416,"W",5,40,"F","W","N","F","W","F","W","W","F","W","F","F","F","W","F","Y","Y","F","Y","W","N",0.000000,1.000000,11,24,11,27,1.098612,2.482874,1.477121,5.476464
11477,"F",5,30,"F","W","N","F","W","F","F","F","F","W","F","F","F","W","F","Y","Y","F","N","F","N",0.000000,1.000000,11,6,11,9,1.098612,0.000000,1.681241,0.000000
1552,"W",5,40,"F","W","N","F","W","F","F","F","F","W","W","F","F","W","F","Y","Y","F","N","F","N",0.000000,1.000000,11,6,11,9,1.098612,0.000000,1.681241,0.000000
8951,"F",5,4,"F","W","Y","F","W","F","F","F","W","W","F","W","F","F","W","N","Y","F","Y","F","N",0.000000,1.000000,2,28,3,1,0.000000,1.863323,,5.187386
14824,"W",5,30,"F","W","N","F","W","F","F","W","F","W","F","F","F","W","W","N","Y","F","N","F","Y",0.000000,1.000000,2,5,2,12,1.945910,1.447158,,0.000000
15790,"F",5,20,"W","F","N","F","W","F","F","W","F","W","W","F","F","W","W","Y","Y","F","Y","F","N",5.129899,1.000000,3,12,3,13,0.000000,1.924279,,5.187386
10499,"W",5,20,"F","W","N","F","W","F","F","F","F","W","W","F","F","W","F","N","N","F","Y","W","Y",0.000000,1.000000,10,13,10,23,2.302585,1.748188,1.857332,5.736572
2976,"W",2,4,"F","W","N","F","W","F","W","F","F","F","F","F","W","F","W","N","N","F","N","F","N",0.000000,1.000000,12,1,12,4,1.098612,2.143015,1.361728,0.000000
10301,"W",5,20,"F","F","N","F","W","F","F","W","F","W","F","F","F","W","F","N","N","F","N","F","N",5.010635,1.000000,10,7,10,17,2.302585,2.225309,1.892095,0.000000
11053,"W",5,20,"F","W","Y","F","W","F","F","W","F","W","F","F","F","W","F","N","N","F","N","F","N",0.000000,1.000000,10,25,11,4,2.302585,2.227887,1.778151,0.000000
15993,"W",7,4,"F","F","N","F","W","W","F","F","F","F","F","F","W","F","W","N","N","F","Y","W","N",4.700480,1.000000,3,18,3,19,0.000000,1.556303,,5.135798
884,"F",7,4,"F","W","Y","F","W","W","F","F","F","W","F","F","W","F","F","Y","N","F","N","F","Y",0.000000,1.000000,10,19,10,22,1.098612,1.740363,1.819544,0.000000
14434,"F",7,6,"F","W","Y","F","W","F","W","F","F","F","F","F","W","F","W","Y","Y","F","N","F","Y",0.000000,1.000000,1,26,1,29,1.098612,1.880814,,0.000000
10349,"F",5,20,"F","W","N","F","W","F","F","F","F","F","F","F","F","W","F","N","N","F","N","F","N",0.000000,1.000000,10,9,10,16,1.945910,1.591065,1.880814,0.000000
12249,"W",5,30,"F","W","N","F","W","F","F","W","F","F","F","F","F","W","F","N","N","F","Y","W","N",0.000000,1.000000,11,27,12,4,1.945910,2.558709,1.431364,5.652489
7136,"F",7,4,"F","W","N","F","W","W","F","F","F","F","F","F","W","F","W","Y","Y","F","N","F","Y",0.000000,1.000000,1,31,2,5,1.609438,1.255273,,0.000000
546,"F",2,4,"F","W","N","F","W","F","F","F","F","W","F","F","W","F","F","Y","Y","F","N","F","N",0.000000,1.000000,10,11,10,18,1.945910,1.681241,1.869232,0.000000
14590,"F",5,20,"W","F","N","F","W","F","F","F","F","W","W","F","F","W","W","N","Y","F","N","F","N",5.288267,1.000000,1,30,2,2,1.098612,0.954243,,0.000000
8489,"F",7,4,"W","F","N","W","F","W","F","F","F","W","F","F","W","F","W","N","N","F","N","F","N",5.037602,1.000000,2,20,2,21,0.000000,1.204120,,0.000000
796,"F",7,4,"F","W","N","F","W","W","F","W","F","W","F","F","W","F","F","N","N","F","N","F","N",0.000000,1.000000,10,17,10,27,2.302585,2.227887,1.832509,0.000000
2415,"F",5,40,"F","W","N","F","W","F","F","F","F","F","F","F","F","W","F","Y","Y","F","N","F","N",0.000000,1.000000,11,22,11,29,1.945910,1.041393,1.505150,0.000000
1743,"W",2,4,"F","W","N","F","W","F","W","W","F","W","F","F","W","F","F","Y","Y","F","N","F","N",0.000000,1.000000,11,10,11,13,1.098612,1.832509,1.643453,0.000000
833,"F",4,4,"F","W","Y","F","W","F","F","F","F","F","F","F","W","F","F","N","Y","F","N","F","N",0.000000,1.000000,10,19,10,29,2.302585,1.812913,1.819544,0.000000
607,"F",4,4,"F","F","N","F","W","F","F","W","F","F","F","F","W","F","F","N","N","F","N","F","N",4.787492,1.000000,10,13,10,16,1.098612,0.301030,1.857332,0.000000
4164,"W",5,40,"F","W","Y","F","W","F","W","W","F","W","F","F","F","W","W","N","Y","F","N","F","N",0.000000,1.000000,12,15,12,20,1.609438,2.079181,0.954243,0.000000
7565,"F",6,4,"F","W","N","F","W","F","F","W","F","W","F","F","W","F","W","N","Y","F","N","F","N",0.000000,1.000000,2,5,2,12,1.945910,1.491362,,0.000000
15765,"F",5,20,"F","W","N","F","W","F","F","F","F","W","W","F","F","W","W","Y","N","F","N","F","N",0.000000,1.000000,3,12,3,19,1.945910,1.623249,,0.000000
4481,"F",5,40,"F","W","N","F","W","F","F","F","F","W","F","F","F","W","W","N","N","F","Y","W","Y",0.000000,1.000000,12,18,12,21,1.098612,1.518514,0.778151,5.616771
12638,"W",5,20,"F","W","Y","F","W","F","F","F","F","W","W","F","F","W","W","Y","Y","F","N","F","N",0.000000,1.000000,12,6,12,13,1.945910,1.518514,1.255273,0.000000
15629,"F",5,20,"F","W","N","F","W","F","F","F","F","W","F","F","F","W","W","N","Y","F","Y","F","N",0.000000,1.000000,3,5,3,12,1.945910,1.653213,,5.293305
10319,"F",5,20,"F","F","N","F","W","F","W","F","F","W","F","F","F","W","F","N","N","F","N","F","N",4.382027,1.000000,10,8,10,15,1.945910,1.770852,1.886491,0.000000
13215,"F",5,20,"F","W","N","F","W","F","F","F","F","W","W","F","F","W","W","N","N","F","Y","F","N",0.000000,1.000000,12,18,12,21,1.098612,1.204120,0.778151,5.298317
1389,"W",5,40,"F","W","N","F","W","F","F","F","F","W","F","F","F","W","F","N","Y","F","N","F","Y",0.000000,1.000000,11,2,11,12,2.302585,1.792392,1.716003,0.000000
5051,"W",7,4,"F","F","Y","F","W","W","W","W","F","W","F","F","W","F","W","N","Y","F","N","F","Y",3.912023,1.000000,12,29,1,3,1.609438,0.301030,,0.000000
5290,"W",7,4,"W","F","N","W","F","W","W","W","F","W","F","F","W","F","W","N","Y","W","N","F","N",5.293305,1.000000,1,3,1,3,,3.008174,,0.000000
8209,"W",5,4,"W","F","N","F","W","F","F","W","F","W","F","W","F","F","W","N","N","F","Y","W","N",5.293305,1.000000,2,16,2,16,,2.008600,,5.416100
14104,"F",5,20,"F","W","N","F","W","F","F","W","F","W","F","F","F","W","W","Y","Y","F","N","F","N",0.000000,1.000000,1,15,1,22,1.945910,1.361728,,0.000000
15147,"F",5,30,"F","W","N","F","W","F","F","F","F","F","W","F","F","W","W","N","N","F","N","F","N",0.000000,1.000000,2,14,2,19,1.609438,2.423246,,0.000000
12320,"F",5,20,"F","W","Y","F","W","F","F","W","F","F","W","F","F","W","F","Y","Y","F","N","F","N",0.000000,1.000000,11,29,12,6,1.945910,0.000000,1.397940,0.000000
12112,"W",5,30,"F","W","Y","F","W","F","W","W","F","W","F","F","F","W","F","N","Y","F","N","F","N",0.000000,1.000000,11,24,12,1,1.945910,1.000000,1.477121,0.000000
6087,"W",4,4,"F","W","N","F","W","F","F","F","F","F","F","F","W","F","W","N","N","F","N","F","N",0.000000,1.000000,1,15,1,22,1.945910,1.544068,,0.000000
6567,"W",7,4,"F","W","N","F","W","F","F","F","F","F","F","F","W","F","W","Y","Y","F","N","F","Y",0.000000,1.000000,1,22,1,25,1.098612,1.724276,,0.000000
9454,"F",5,4,"F","W","N","F","W","F","F","W","F","F","F","W","F","F","W","N","Y","F","N","F","Y",0.000000,1.000000,3,7,3,10,1.098612,1.591065,,0.000000
5706,"W",5,4,"W","F","N","F","W","F","F","F","W","F","F","W","F","F","W","N","Y","F","N","F","N",5.298267,1.000000,1,9,1,12,1.098612,0.301030,,0.000000
10191,"F",5,20,"F","W","N","F","W","F","F","F","F","W","W","F","F","W","F","Y","N","F","N","F","N",0.000000,1.000000,10,3,10,8,1.609438,2.103804,1.913814,0.000000
10379,"W",5,20,"F","W","N","F","W","F","F","F","F","W","W","F","F","W","F","Y","N","F","N","F","N",0.000000,1.000000,10,10,10,13,1.098612,2.107210,1.875061,0.000000
10567,"W",5,20,"W","F","N","W","F","F","F","F","F","F","F","F","F","W","F","N","Y","F","N","F","N",5.438079,1.000000,10,14,10,15,0.000000,1.913814,1.851258,0.000000
9340,"W",5,2,"F","W","N","F","W","F","W","W","F","W","F","W","F","F","W","N","Y","F","N","F","N",0.000000,1.000000,3,5,3,12,1.945910,1.778151,,0.000000
14601,"F",7,6,"F","W","N","F","W","F","F","W","F","W","F","F","W","F","W","N","N","F","N","F","Y",0.000000,1.000000,1,30,2,6,1.945910,1.361728,,0.000000
6389,"W",7,4,"F","W","Y","F","W","W","W","W","F","W","F","F","W","F","W","Y","Y","F","N","F","Y",0.000000,1.000000,1,20,1,27,1.945910,1.579784,,0.000000
3587,"W",5,4,"F","W","N","F","W","F","W","F","F","F","F","W","F","F","W","N","N","F","N","F","N",0.000000,1.000000,12,9,12,16,1.945910,0.000000,1.176091,0.000000
4446,"W",5,4,"F","W","N","F","W","F","W","F","F","F","F","W","F","F","W","N","N","F","N","F","N",0.000000,1.000000,12,18,12,21,1.098612,0.000000,0.778151,0.000000
346,"F",7,4,"F","W","N","F","W","F","F","W","F","F","F","F","W","F","F","N","N","F","N","F","N",0.000000,1.000000,10,5,10,8,1.098612,0.903090,1.903090,0.000000
3291,"F",4,4,"F","W","N","F","W","F","F","F","F","F","F","F","W","F","W","Y","Y","F","N","F","N",0.000000,1.000000,12,5,12,8,1.098612,1.724276,1.278754,0.000000
15036,"W",5,30,"F","W","N","F","W","F","F","W","W","F","W","F","F","W","W","N","Y","F","N","F","N",0.000000,1.000000,2,11,2,16,1.609438,1.812913,,0.000000
11518,"W",5,30,"F","W","N","F","W","F","F","W","W","F","W","F","F","W","F","N","Y","F","N","F","N",0.000000,1.000000,11,7,11,17,2.302585,0.477121,1.672098,0.000000
11824,"W",5,30,"F","W","N","F","W","F","F","W","W","F","W","F","F","W","F","N","Y","F","N","F","N",0.000000,1.000000,11,16,11,21,1.609438,1.792392,1.579784,0.000000
11877,"W",5,30,"F","W","N","F","W","F","F","W","W","F","W","F","F","W","F","N","Y","F","N","F","N",0.000000,1.000000,11,18,11,28,2.302585,0.698970,1.556303,0.000000
5788,"F",5,4,"F","W","Y","F","W","F","F","W","W","W","F","W","F","F","W","N","Y","F","N","F","N",0.000000,1.000000,1,10,1,15,1.609438,1.113943,,0.000000
6211,"F",7,4,"F","W","Y","F","W","W","W","W","F","W","F","F","W","F","W","Y","Y","F","N","F","N",0.000000,1.000000,1,17,1,22,1.609438,1.977724,,0.000000
9455,"W",7,4,"F","F","Y","F","W","W","W","W","F","F","F","F","W","F","W","N","N","F","Y","W","N",4.605170,1.000000,3,8,3,9,0.000000,1.819544,,5.192957
10528,"F",7,6,"F","F","N","F","W","W","F","W","F","W","F","F","W","F","F","N","Y","F","N","F","N",4.867534,1.000000,10,14,10,21,1.945910,1.342423,1.851258,0.000000
14049,"W",5,20,"F","F","N","F","W","F","F","W","F","F","W","F","F","W","W","N","Y","F","N","F","Y",2.995732,1.000000,1,14,1,21,1.945910,1.973128,,0.000000
9142,"W",5,40,"F","W","N","F","W","F","F","F","F","W","F","F","F","W","W","Y","Y","F","N","F","Y",0.000000,1.000000,3,2,3,12,2.302585,2.068186,,0.000000
10463,"W",5,20,"F","W","N","F","W","F","F","W","F","F","W","F","F","W","F","N","N","F","N","F","N",0.000000,1.000000,10,13,10,14,0.000000,2.296665,1.857332,0.000000
14748,"W",5,20,"F","W","N","F","W","F","F","F","F","W","F","F","F","W","W","Y","Y","F","N","F","N",0.000000,1.000000,2,3,2,4,0.000000,1.146128,,0.000000
8666,"F",2,4,"F","W","N","F","W","F","F","F","F","F","W","F","W","F","W","N","Y","F","N","F","N",0.000000,1.000000,2,23,2,26,1.098612,2.431364,,0.000000
8326,"F",4,4,"F","W","N","F","W","F","F","W","F","W","F","F","W","F","W","N","N","F","N","F","N",0.000000,1.000000,2,18,2,28,2.302585,1.672098,,0.000000
7438,"F",7,4,"F","W","N","F","W","W","F","F","F","W","F","F","W","F","W","N","N","W","N","F","N",0.000000,1.000000,2,4,2,11,1.945910,3.362859,,0.000000
10666,"W",5,30,"W","F","N","F","W","F","W","W","F","W","F","F","F","W","F","N","Y","F","Y","W","N",5.720312,1.000000,10,16,10,18,0.693147,2.492760,1.838849,5.733341
8735,"W",5,4,"F","W","Y","F","W","F","F","F","F","W","F","W","F","F","W","N","Y","F","N","F","N",0.000000,1.000000,2,25,2,28,1.098612,2.161368,,0.000000
5942,"F",7,4,"F","W","N","F","W","W","F","W","F","F","F","F","W","F","W","N","N","W","N","F","N",0.000000,1.000000,1,12,1,22,2.302585,3.166726,,0.000000
12770,"F",7,6,"F","W","Y","F","W","F","F","F","F","F","F","F","W","F","W","N","Y","F","N","F","N",0.000000,1.000000,12,9,12,14,1.609438,1.724276,1.176091,0.000000
191,"F",7,4,"F","W","Y","F","W","F","F","W","F","W","F","F","W","F","F","Y","Y","F","N","F","N",0.000000,1.000000,10,1,10,8,1.945910,2.647383,1.924279,0.000000
7787,"F",5,40,"F","W","N","F","W","F","W","F","F","W","W","F","F","W","W","N","N","F","N","F","N",0.000000,1.000000,2,9,2,12,1.098612,0.000000,,0.000000
7713,"F",7,4,"F","W","N","F","W","W","F","F","F","F","F","F","W","F","W","N","N","F","N","F","N",0.000000,1.000000,2,8,2,11,1.098612,1.113943,,0.000000
15924,"F",5,20,"W","F","N","F","W","F","F","F","F","W","W","F","F","W","W","N","Y","F","Y","F","N",5.105945,1.000000,3,21,3,22,0.000000,2.814248,,5.192957
14183,"F",5,30,"F","W","N","F","W","F","F","W","F","W","F","F","F","W","W","N","N","F","N","F","N",0.000000,1.000000,1,18,1,19,0.000000,1.799341,,0.000000
358,"F",6,4,"F","W","N","F","W","F","F","F","F","F","F","F","W","F","F","N","Y","F","N","F","Y",0.000000,1.000000,10,5,10,10,1.609438,0.602060,1.903090,0.000000
4674,"W",7,4,"F","W","Y","F","W","F","F","F","F","F","F","F","W","F","W","Y","Y","F","Y","W","N",0.000000,1.000000,12,21,12,21,,1.518514,0.477121,5.298317
