auct_id,gms_greater_avg,listing_title,listing_subtitle,listing_start_date,listing_end_date,category_avg_gms,start_price_Mean__avg,buy_it_now_price_Mean__avg,feedback_score_at_listing_time_Mean__avg,listing_durtn_days_LogN,feedback_score_at_listing_time_Log10,start_price_LogN,buy_it_now_price_LogN,qty_available_per_listing_Mean__avg,item_leaf_category_name_article_category,item_leaf_category_name_article_category_meta_category,item_leaf_category_name_color_category,dasy_between_weihnachten_2006,days_between_weihnachten_2005,is_24_days_before_weihnachten,qty_available_per_listing_is_default,feedback > avg,buy_prive > avg,buy_it_now > gms_avg,start_prive > avg,start_price > gms_avg,qty > avg,listing_subtitle_lowercase_contains_ovp,listing_start_date_year,listing_end_date_year,listing_start_date_month,listing_end_date_month,listing_start_date_day,listing_end_date_day,start_price_is_default,buy_it_now_listed_flag,feedback_score_at_listing_time_is_default,listing_durtn_days_is_default,bold_fee_flag,category_featured_fee_flag,gallery_fee_flag,gallery_featured_fee_flag,ipix_featured_fee_flag,highlight_fee_flag,schedule_fee_flag,border_fee_flag,item_leaf_category_name_Audio & Hi-Fi:MP3-Player:Apple iPod:20 GB,item_leaf_category_name_Audio & Hi-Fi:MP3-Player:Apple iPod:30 GB,item_leaf_category_name_Audio & Hi-Fi:MP3-Player:Apple iPod:40 GB,item_leaf_category_name_Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Blau,item_leaf_category_name_Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Gold,item_leaf_category_name_Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Grün,item_leaf_category_name_Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Pink,item_leaf_category_name_Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber,item_leaf_category_name_Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Sonsti,item_leaf_category_name_Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 6 GB:Blau,item_leaf_category_name_Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 6 GB:Grün,item_leaf_category_name_Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 6 GB:Pink,item_leaf_category_name_Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 6 GB:Silber,item_leaf_category_name_Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Nano 2 GB,item_leaf_category_name_Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Nano 4 GB,listing_type_code_1,listing_type_code_2,listing_type_code_7,listing_type_code_9,listing_title_lowercase_contains_new,listing_subtitle_lowercase_contains_new,listing_title_lowercase_contains_ovp,listing_title_lowercase_contains_black,listing_title_lowercase_contains_silver,listing_title_lowercase_contains_white,listing_title_lowercase_contains_green,listing_title_lowercase_contains_pink,listing_title_lowercase_contains_blue,listing_title_lowercase_contains_photo,listing_title_lowercase_contains_bussword,listing_title_lowercase_contains_invoice,listing_title_lowercase_contains_video,listing_title_lowercase_contains_warrenty,listing_title_lowercase_contains_colordisplay,listing_title_lowercase_contains_original,listing_title_lowercase_contains_verschweißt,listing_title_lowercase_contains_dock,listing_title_lowercase_contains_alt,listing_title_lowercase_contains_songs,listing_title_lowercase_contains_apple,listing_title_lowercase_contains_ipod,listing_title_lowercase_contains_verpackt,listing_title_lowercase_contains_bag
5163,"W","  I Pod - 4 GB Mini - Silber - inkl. Versand ","",2005-12-31,2006-01-01,167.977000,131.317479,171.047619,628.901677,-2.145727,0.154490,1.713309,-0.523740,6.708333,"iPod Mini 4 GB","mini","Silber",358,-7,"W","W","F","F","F","W","W","F","F",2005,2006,12,1,31,1,"F","N","F","F","N","N","N","N","N","N","Y","N","F","F","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","W","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
8832,"F","  I-Pod Mini 4 GB","",2006-02-26,2006-03-05,167.977000,131.317479,171.047619,628.901677,0.650967,-0.552749,-0.605404,-0.523740,6.708333,"iPod Mini 4 GB","mini","Silber",301,-64,"W","W","F","F","F","F","F","F","F",2006,2006,2,3,26,5,"W","N","F","F","Y","N","Y","N","Y","N","N","N","F","F","F","F","F","F","F","W","F","F","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
13520,"F","  ipod 20 GB  Klassik 2 Generation mit touchweel","",2005-12-29,2005-12-30,207.358000,162.585936,226.704225,893.903859,-2.145727,-0.427583,-0.605404,-0.523740,9.533333,"20 GB","classic","",360,-5,"W","W","F","F","F","F","F","F","F",2005,2005,12,12,29,30,"W","N","F","F","N","N","N","N","Y","N","N","N","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","W","F","F"
5062,"F","  Ipod mini 4gig + Itripp + 2.Accu / alles dabei...","",2005-12-29,2006-01-08,164.757000,124.607742,175.808219,732.555133,1.163586,0.190233,-0.605404,-0.523740,6.000000,"iPod Mini 4 GB","mini","Grün",360,-5,"W","W","F","F","F","F","F","F","F",2005,2006,12,1,29,8,"W","N","F","F","N","N","N","N","N","N","Y","N","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","W","F","F"
12128,"W","  iPod nano 4GB Apple (Weiß) 1000 Songs, Neu und OVP","",2005-11-24,2005-12-04,196.220000,160.826087,195.666667,131.200000,1.163586,0.280715,-0.605404,-0.523740,11.333333,"iPod Mini 4 GB","mini","Sonsti",395,30,"F","W","W","F","F","F","F","F","F",2005,2005,11,12,24,4,"W","N","F","F","N","N","N","N","N","N","Y","N","F","F","F","F","F","F","F","F","W","F","F","F","F","F","F","W","F","F","F","W","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","W","W","W","F","F"
8405,"F","  iPod nano von Apple 2GB in weiß, neu, ovp.","",2006-02-19,2006-02-26,166.481000,134.262857,174.174603,1005.315942,0.650967,-0.073026,-0.605404,-0.523740,4.000000,"iPod Nano 2 GB","nano","",308,-57,"W","W","F","F","F","F","F","F","F",2006,2006,2,2,19,26,"W","N","F","F","N","N","N","N","N","N","N","N","F","F","F","F","F","F","F","F","F","F","F","F","F","W","F","W","F","F","F","W","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","W","W","F","F"
1862,"F"," - Apple ipod / i pod mini Silber 4GB wie neu  -","",2005-11-13,2005-11-20,167.977000,131.317479,171.047619,628.901677,0.650967,0.667591,-0.605404,-0.523740,6.708333,"iPod Mini 4 GB","mini","Silber",406,41,"F","W","F","F","F","F","F","F","F",2005,2005,11,11,13,20,"W","N","F","F","Y","N","N","N","N","N","N","N","F","F","F","F","F","F","F","W","F","F","F","F","F","F","F","W","F","F","F","W","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","W","W","F","F"
5425,"W"," !!! Apple iPod mini 4 GB silver NEU und OVP !!!","",2006-01-05,2006-01-15,167.977000,131.317479,171.047619,628.901677,1.163586,0.317365,-0.605404,-0.523740,6.708333,"iPod Mini 4 GB","mini","Silber",353,-12,"W","W","F","F","F","F","F","F","F",2006,2006,1,1,5,15,"W","N","F","F","N","N","Y","N","N","N","N","N","F","F","F","F","F","F","F","W","F","F","F","F","F","F","F","W","F","F","F","W","F","W","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","W","W","F","F"
6779,"W"," !!! Apple iPod mini 4 GB silver NEU und OVP !!!","",2006-01-26,2006-02-05,167.977000,131.317479,171.047619,628.901677,1.163586,0.340336,-0.605404,-0.523740,6.708333,"iPod Mini 4 GB","mini","Silber",332,-33,"W","W","F","F","F","F","F","F","F",2006,2006,1,2,26,5,"W","N","F","F","N","N","Y","N","N","N","N","N","F","F","F","F","F","F","F","W","F","F","F","F","F","F","F","W","F","F","F","W","F","W","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","W","W","F","F"
10822,"F"," * Apple iPod MINI 6GB NEU original verpackt ab 1- ÿ *","",2005-10-19,2005-10-24,197.022000,168.103558,207.012658,1043.834052,0.167384,1.781003,-0.605404,-0.523740,13.166667,"iPod Mini 6 GB","mini","Silber",431,66,"F","W","W","F","F","F","F","F","F",2005,2005,10,10,19,24,"W","N","F","F","N","N","Y","N","N","N","N","N","F","F","F","F","F","F","F","F","F","F","F","F","W","F","F","W","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","W","F","F","F","F","W","W","W","F"
3961,"F"," >>> Appel iPod nano 2GB schwarz - NEUWARE in OVP <<<","",2005-12-13,2005-12-13,197.862000,176.815699,198.507979,692.674216,,-0.034929,-0.605404,1.868300,13.127273,"iPod Nano 4 GB","nano","",376,11,"W","W","F","F","F","F","F","F","F",2005,2005,12,12,13,13,"W","Y","F","W","N","N","N","N","N","N","N","N","F","F","F","F","F","F","F","F","F","F","F","F","F","F","W","W","F","F","F","W","F","W","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","W","F","F"
9363,"W"," APPLE  iPOD  4GB  silber  mit viel ZUBEHÖR ","",2006-03-06,2006-03-11,167.977000,131.317479,171.047619,628.901677,0.167384,-0.630085,-0.605404,-0.523740,6.708333,"iPod Mini 4 GB","mini","Silber",293,-72,"W","W","F","F","F","F","F","F","F",2006,2006,3,3,6,11,"W","N","F","F","N","N","N","N","N","N","N","N","F","F","F","F","F","F","F","W","F","F","F","F","F","F","F","W","F","F","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","W","W","F","F"
15678,"F"," Apple - ipod Video 30 GB - weiß","",2006-03-07,2006-03-14,263.459000,219.590736,282.979798,538.511002,0.650967,-0.265296,-0.605404,-0.523740,9.592593,"30 GB","classic","",292,-73,"W","W","F","F","F","F","F","F","F",2006,2006,3,3,7,14,"W","N","F","F","N","N","Y","N","Y","N","Y","N","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","W","F","F","F","F","F","F","F","W","W","F","F"
14636,"W"," Apple i-Pod mini mit 6GB Datenspeicher!","",2006-01-31,2006-02-05,197.022000,168.103558,207.012658,1043.834052,0.167384,0.420262,-0.605404,-0.523740,13.166667,"iPod Mini 6 GB","mini","Silber",327,-38,"W","W","F","F","F","F","F","F","F",2006,2006,1,2,31,5,"W","N","F","F","N","N","N","N","N","N","Y","N","F","F","F","F","F","F","F","F","F","F","F","F","W","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","W","F","F","F"
10079,"W"," Apple I-Pod, 20 GB,gebraucht","",2005-09-29,2005-10-09,207.358000,162.585936,226.704225,893.903859,1.163586,0.337524,-0.605404,-0.523740,9.533333,"20 GB","classic","",451,86,"F","W","F","F","F","F","F","F","F",2005,2005,9,10,29,9,"W","N","F","F","N","N","Y","N","N","N","N","N","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","W","F","F","F"
15205,"F"," Apple iPod (3.G) 20GB + iTrip und Zubehör! Ansehen!!","",2006-02-16,2006-02-26,207.358000,162.585936,226.704225,893.903859,1.163586,-2.142387,1.579859,-0.523740,9.533333,"20 GB","classic","",311,-54,"W","W","F","F","F","F","F","F","F",2006,2006,2,2,16,26,"F","N","W","F","N","N","N","N","Y","N","N","N","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","W","W","F","F"
14382,"W"," Apple iPod 5th Generation Video - 30 GB - NEU - OVP *","",2006-01-24,2006-01-29,263.459000,219.590736,282.979798,538.511002,0.167384,0.261290,-0.605404,-0.523740,9.592593,"30 GB","classic","",334,-31,"W","W","F","F","F","F","F","F","F",2006,2006,1,1,24,29,"W","N","F","F","N","N","N","N","N","N","N","N","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","W","F","F","F","W","F","W","F","F","F","F","F","F","F","F","F","W","F","F","F","F","F","F","F","W","W","F","F"
3931,"W"," Apple iPod MINI 4 GB Silber in Top Zustand","",2005-12-12,2005-12-17,167.977000,131.317479,171.047619,628.901677,0.167384,-0.985841,-0.605404,-0.523740,6.708333,"iPod Mini 4 GB","mini","Silber",377,12,"W","W","F","F","F","F","F","F","F",2005,2005,12,12,12,17,"W","N","F","F","N","N","Y","N","Y","N","N","N","F","F","F","F","F","F","F","W","F","F","F","F","F","F","F","W","F","F","F","F","F","F","F","W","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","W","W","F","F"
6523,"F"," Apple Ipod Mini 4GB! Silber","",2006-01-22,2006-01-29,167.977000,131.317479,171.047619,628.901677,0.650967,0.293244,-0.605404,-0.523740,6.708333,"iPod Mini 4 GB","mini","Silber",336,-29,"W","W","F","F","F","F","F","F","F",2006,2006,1,1,22,29,"W","N","F","F","N","N","Y","N","Y","N","Y","N","F","F","F","F","F","F","F","W","F","F","F","F","F","F","F","W","F","F","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","W","W","F","F"
9775,"F"," Apple iPod mini Musicplayer 4GB SIlber TOP","",2006-03-13,2006-03-20,167.977000,131.317479,171.047619,628.901677,0.650967,-0.413995,-0.605404,-0.523740,6.708333,"iPod Mini 4 GB","mini","Silber",286,-79,"W","W","F","F","F","F","F","F","F",2006,2006,3,3,13,20,"W","N","F","F","Y","N","Y","N","N","N","N","N","F","F","F","F","F","F","F","W","F","F","F","F","F","F","F","W","F","F","F","F","F","F","F","W","F","F","F","F","F","W","F","F","F","F","F","F","F","F","W","W","W","F","F"
4441,"W"," Apple iPod mini, 4GB, in silber mit Zubehör...NEU","",2005-12-18,2005-12-23,167.977000,131.317479,171.047619,628.901677,0.167384,-0.552749,-0.605404,-0.523740,6.708333,"iPod Mini 4 GB","mini","Silber",371,6,"W","W","F","F","F","F","F","F","F",2005,2005,12,12,18,23,"W","N","F","F","N","N","N","N","Y","N","N","N","F","F","F","F","F","F","F","W","F","F","F","F","F","F","F","W","F","F","F","W","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","W","W","F","F"
10136,"W"," Apple IPOD MP3 20GB + USB Kabel + Software CD + 4.Gene","",2005-09-30,2005-10-02,207.358000,162.585936,226.704225,893.903859,-1.149525,-0.265296,1.816026,-0.523740,9.533333,"20 GB","classic","",450,85,"F","W","F","F","F","W","W","F","F",2005,2005,9,10,30,2,"F","N","F","F","N","N","Y","N","Y","N","N","N","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","W","W","F","F"
6104,"F"," Apple iPod nano (weiß) 2GB - MP3 Player !!wie neu!!","",2006-01-15,2006-01-22,197.862000,176.815699,198.507979,692.674216,0.650967,0.415486,-0.605404,-0.523740,13.127273,"iPod Nano 4 GB","nano","",343,-22,"W","W","F","F","F","F","F","F","F",2006,2006,1,1,15,22,"W","N","F","F","Y","N","Y","N","Y","N","Y","N","F","F","F","F","F","F","F","F","F","F","F","F","F","F","W","W","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","W","W","F","F"
2740,"F"," Apple iPod Nano 2 GB - weiß - NEU!!! - OVP !!!","",2005-11-27,2005-12-02,197.862000,176.815699,198.507979,692.674216,0.167384,-0.375389,-0.605404,-0.523740,13.127273,"iPod Nano 4 GB","nano","",392,27,"F","W","F","F","F","F","F","F","F",2005,2005,11,12,27,2,"W","N","F","F","N","N","Y","N","Y","N","N","N","F","F","F","F","F","F","F","F","F","F","F","F","F","F","W","W","F","F","F","W","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","W","W","F","F"
8633,"W"," Apple iPod nano 2GB  NEU","Eleganter nano iPod 2gb  von Apple  in schwarz",2006-02-23,2006-02-28,166.481000,134.262857,174.174603,1005.315942,0.167384,-0.905268,-0.605404,-0.523740,4.000000,"iPod Nano 2 GB","nano","",304,-61,"W","W","F","F","F","F","F","F","F",2006,2006,2,2,23,28,"W","N","F","F","Y","N","Y","N","Y","N","Y","N","F","F","F","F","F","F","F","F","F","F","F","F","F","W","F","W","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","W","W","F","F"
2980,"W"," APPLE IPOD NANO 2GB BLACK","",2005-12-01,2005-12-01,197.862000,176.815699,198.507979,692.674216,,1.913601,1.795161,-0.523740,13.127273,"iPod Nano 4 GB","nano","",388,23,"W","W","W","F","F","W","W","F","F",2005,2005,12,12,1,1,"F","N","F","W","N","N","Y","N","N","N","N","N","F","F","F","F","F","F","F","F","F","F","F","F","F","F","W","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","W","W","F","F"
3606,"W"," APPLE IPOD NANO 2GB BLACK","",2005-12-09,2005-12-12,197.862000,176.815699,198.507979,692.674216,-0.566783,1.922859,1.795161,-0.523740,13.127273,"iPod Nano 4 GB","nano","",380,15,"W","W","W","F","F","W","W","F","F",2005,2005,12,12,9,12,"F","N","F","F","N","N","N","N","N","N","N","N","F","F","F","F","F","F","F","F","F","F","F","F","F","F","W","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","W","W","F","F"
3612,"W"," APPLE IPOD NANO 2GB BLACK","",2005-12-10,2005-12-13,197.862000,176.815699,198.507979,692.674216,-0.566783,1.922859,1.795161,-0.523740,13.127273,"iPod Nano 4 GB","nano","",379,14,"W","F","W","F","F","W","W","F","F",2005,2005,12,12,10,13,"F","N","F","F","N","N","N","N","N","N","N","N","F","F","F","F","F","F","F","F","F","F","F","F","F","F","W","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","W","W","F","F"
6777,"W"," Apple iPod nano 4 GB *NEU* WEISS oder SCHWARZ OVP","Auch direk: ipod nano 4 GB direkt für 249,90 plus Porto",2006-01-26,2006-01-26,197.862000,176.815699,198.507979,692.674216,,0.684369,1.907972,-0.523740,13.127273,"iPod Nano 4 GB","nano","",332,-33,"W","W","F","F","F","W","W","F","F",2006,2006,1,1,26,26,"F","N","F","W","N","N","Y","N","N","N","N","N","F","F","F","F","F","F","F","F","F","F","F","F","F","F","W","F","F","F","W","W","F","W","W","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","W","W","F","F"
