auct_id,item_leaf_category_name,listing_title,listing_subtitle,listing_durtn_days,listing_type_code,feedback_score_at_listing_time,start_price,buy_it_now_price,buy_it_now_listed_flag,bold_fee_flag,category_featured_fee_flag,gallery_fee_flag,gallery_featured_fee_flag,ipix_featured_fee_flag,highlight_fee_flag,schedule_fee_flag,border_fee_flag,qty_available_per_listing,gms,category_avg_gms,gms_greater_avg,listing_start_date_date,listing_start_date_in_weeks,listing_start_date_month,listing_start_date_day,listing_start_date_year,item_leaf_category_name_article_category,item_leaf_category_name_color_category,_article_meta_mini,_article_meta_nano,_article_meta_classic,_article_40,_article_30,_article_20,_article_4,_article_2,item_leaf_category_name_color_category_Blau_flag,item_leaf_category_name_color_category_Gold_flag,item_leaf_category_name_color_category_Grün_flag,item_leaf_category_name_color_category_Pink_flag,item_leaf_category_name_color_category_Silber_flag,item_leaf_category_name_color_category_Sonsti_flag,listing_type_code_1,listing_type_code_2,listing_type_code_7,listing_type_code_9,listing_title_lowercase_contains_new,listing_subtitle_lowercase_contains_new,listing_title_lowercase_contains_ovp,listing_title_lowercase_contains_black,listing_title_lowercase_contains_silver,listing_title_lowercase_contains_white,listing_title_lowercase_contains_green,listing_title_lowercase_contains_pink,listing_title_lowercase_contains_blue,listing_title_lowercase_contains_photo,listing_title_lowercase_contains_bussword,listing_title_lowercase_contains_invoice,listing_title_lowercase_contains_video,listing_title_lowercase_contains_warrenty,listing_title_lowercase_contains_colordisplay,listing_title_lowercase_contains_original,listing_title_lowercase_contains_verschweißt,listing_title_lowercase_contains_dock,listing_title_lowercase_contains_alt,listing_title_lowercase_contains_songs,listing_title_lowercase_contains_verpackt,listing_title_lowercase_contains_bag,Partition
14250,"Audio & Hi-Fi:MP3-Player:Apple iPod:20 GB","+++ iPod 4 Photo - 20 GB in 1A Zustand +++","",5,1,55,1.000000,0.000000,"N","N","N","Y","N","N","N","Y","Y",1,202.550000,207.358000,0,2006-01-23,5534.000000,1,23,2006,"20 GB",,"F","F","W","F","F","W","F","W","F","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","1_Training"
12075,"Audio & Hi-Fi:MP3-Player:Apple iPod:20 GB","++++IPOD 20 GB PHOTO++4. Generation+MP3 Player+TOP+OVP+","",5,1,527,1.000000,0.000000,"N","N","N","Y","N","N","N","N","N",1,200.990000,207.358000,0,2005-11-22,5525.142857,11,22,2005,"20 GB",,"F","F","W","F","F","W","F","W","F","F","F","F","F","F","W","F","F","F","F","F","W","F","F","F","F","F","F","W","W","F","F","F","F","F","F","F","F","F","F","F","1_Training"
12862,"Audio & Hi-Fi:MP3-Player:Apple iPod:20 GB","+++Apple ipod Photo 20GB Farbdisplay+++","",7,1,78,1.000000,0.000000,"N","N","N","Y","N","N","N","N","N",1,236.990000,207.358000,1,2005-12-11,5527.857143,12,11,2005,"20 GB",,"F","F","W","F","F","W","F","W","F","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","W","F","F","F","F","W","F","F","F","F","F","F","F","1_Training"
13972,"Audio & Hi-Fi:MP3-Player:Apple iPod:20 GB","<<< Apple iPod >>> 20 GB + ZUBEHÖR <<< SUPER !!!","",1,9,476,240.000000,0.000000,"N","N","N","N","N","N","N","N","N",1,240.000000,207.358000,1,2006-01-12,5532.428571,1,12,2006,"20 GB",,"F","F","W","F","F","W","F","W","F","F","F","F","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","1_Training"
13743,"Audio & Hi-Fi:MP3-Player:Apple iPod:20 GB","== iPod 3 Generation (beste) == 15GB == TOP und OVP","",2,9,381,189.000000,0.000000,"N","N","N","Y","N","Y","N","N","N",1,189.000000,207.358000,0,2006-01-05,5531.428571,1,5,2006,"20 GB",,"F","F","W","F","F","W","F","W","F","F","F","F","F","F","F","F","F","W","F","F","W","F","F","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","1_Training"
12817,"Audio & Hi-Fi:MP3-Player:Apple iPod:20 GB","== iPod 3 Generation (beste) == 15GB == TOP und OVP","super Weihnachtsgeschenk",2,9,376,199.000000,0.000000,"N","N","N","Y","N","Y","N","N","N",1,199.000000,207.358000,0,2005-12-10,5527.714286,12,10,2005,"20 GB",,"F","F","W","F","F","W","F","W","F","F","F","F","F","F","F","F","F","W","F","F","W","F","F","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","1_Training"
13554,"Audio & Hi-Fi:MP3-Player:Apple iPod:20 GB","== iPod 3 Generation (beste) == 15GB == TOP und OVP","super Weihnachtsgeschenk",3,9,381,189.000000,0.000000,"N","N","N","Y","N","Y","N","N","N",1,189.000000,207.358000,0,2005-12-30,5530.571429,12,30,2005,"20 GB",,"F","F","W","F","F","W","F","W","F","F","F","F","F","F","F","F","F","W","F","F","W","F","F","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","1_Training"
11435,"Audio & Hi-Fi:MP3-Player:Apple iPod:20 GB","== iPod 3 Generation (beste) == 15GB == wie NEU und OVP","",3,9,365,185.000000,0.000000,"N","N","N","Y","N","Y","N","N","N",1,185.000000,207.358000,0,2005-11-05,5522.714286,11,5,2005,"20 GB",,"F","F","W","F","F","W","F","W","F","F","F","F","F","F","F","F","F","W","W","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","1_Training"
13034,"Audio & Hi-Fi:MP3-Player:Apple iPod:20 GB","==> I-POD   4. Generation   20GB - Limited Edition <==","",0,1,63,1.000000,199.000000,"Y","Y","N","N","N","N","N","N","N",1,199.000000,207.358000,0,2005-12-14,5528.285714,12,14,2005,"20 GB",,"F","F","W","F","F","W","F","W","F","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","1_Training"
10028,"Audio & Hi-Fi:MP3-Player:Apple iPod:20 GB",">>> APPLE iPOD 20GB PC+MAC; NEUWERTIG & iTRIP; NEU<<<","",7,1,7,1.000000,0.000000,"N","Y","N","Y","N","Y","Y","Y","N",1,237.000000,207.358000,1,2005-09-25,5516.857143,9,25,2005,"20 GB",,"F","F","W","F","F","W","F","W","F","F","F","F","F","F","W","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","1_Training"
15207,"Audio & Hi-Fi:MP3-Player:Apple iPod:20 GB",">>>NEU<<< Apple Ipod 4 Generation>>>NEU<<<NEU>>>NEU<<<","",5,1,79,1.000000,245.000000,"Y","N","N","N","N","N","N","N","N",1,224.190000,207.358000,1,2006-02-16,5537.428571,2,16,2006,"20 GB",,"F","F","W","F","F","W","F","W","F","F","F","F","F","F","W","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","1_Training"
12834,"Audio & Hi-Fi:MP3-Player:Apple iPod:20 GB","$$$ Apple Ipod 20 GB 3. Generation CLICKWHEEL $$$","",7,1,192,100.000000,0.000000,"N","N","N","N","N","N","N","N","N",1,175.000000,207.358000,0,2005-12-10,5527.714286,12,10,2005,"20 GB",,"F","F","W","F","F","W","F","W","F","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","1_Training"
13786,"Audio & Hi-Fi:MP3-Player:Apple iPod:20 GB","20 GB iPOD WOW!","new",7,1,4,111.000000,0.000000,"N","Y","N","Y","N","Y","Y","N","Y",1,211.000000,207.358000,1,2006-01-07,5531.714286,1,7,2006,"20 GB",,"F","F","W","F","F","W","F","W","F","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","1_Training"
11712,"Audio & Hi-Fi:MP3-Player:Apple iPod:20 GB","20GB iPod mit Farbdisplay plus PhotoDock -fast neu-","",7,1,13,1.000000,260.000000,"Y","N","N","Y","N","Y","N","N","N",1,251.100000,207.358000,1,2005-11-13,5523.857143,11,13,2005,"20 GB",,"F","F","W","F","F","W","F","W","F","F","F","F","F","F","W","F","F","F","W","F","F","F","F","F","F","F","F","W","F","F","F","F","W","F","F","W","F","F","F","F","1_Training"
10920,"Audio & Hi-Fi:MP3-Player:Apple iPod:20 GB","20GB++Apple I Pod 20 GB 4.Generation SUPER ZUSTAND++","",1,1,46,190.000000,215.000000,"Y","N","N","N","N","N","N","N","N",1,215.000000,207.358000,1,2005-10-21,5520.571429,10,21,2005,"20 GB",,"F","F","W","F","F","W","F","W","F","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","1_Training"
15562,"Audio & Hi-Fi:MP3-Player:Apple iPod:20 GB","Appe iPod 20GB weiß 1. Generation","",10,1,17,1.000000,0.000000,"N","N","N","N","N","N","N","N","N",1,141.000000,207.358000,0,2006-03-02,5539.428571,3,2,2006,"20 GB",,"F","F","W","F","F","W","F","W","F","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","1_Training"
10328,"Audio & Hi-Fi:MP3-Player:Apple iPod:20 GB","Appel I pod im u2 Design","",7,1,9,1.000000,0.000000,"N","N","N","N","N","Y","N","N","N",1,257.450000,207.358000,1,2005-10-08,5518.714286,10,8,2005,"20 GB",,"F","F","W","F","F","W","F","W","F","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","1_Training"
11337,"Audio & Hi-Fi:MP3-Player:Apple iPod:20 GB","Appel iPod","",10,1,35,49.990000,0.000000,"N","N","N","Y","N","N","N","N","N",1,181.000000,207.358000,0,2005-11-02,5522.285714,11,2,2005,"20 GB",,"F","F","W","F","F","W","F","W","F","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","1_Training"
15727,"Audio & Hi-Fi:MP3-Player:Apple iPod:20 GB","APPLE   iPod   4.Generation    mit 20 GB !! !!","",1,1,1858,1.000000,240.000000,"Y","N","N","N","N","Y","N","N","N",1,240.000000,207.358000,1,2006-03-09,5540.428571,3,9,2006,"20 GB",,"F","F","W","F","F","W","F","W","F","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","1_Training"
11530,"Audio & Hi-Fi:MP3-Player:Apple iPod:20 GB","APPLE   IPOD  20Gb","",5,1,0,1.000000,0.000000,"N","Y","N","N","N","Y","N","N","N",1,174.510000,207.358000,0,2005-11-08,5523.142857,11,8,2005,"20 GB",,"F","F","W","F","F","W","F","W","F","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","1_Training"
14490,"Audio & Hi-Fi:MP3-Player:Apple iPod:20 GB","APPLE  iPod  20GB","",5,1,97,1.000000,0.000000,"N","N","N","N","N","Y","N","N","N",1,201.000000,207.358000,0,2006-01-27,5534.571429,1,27,2006,"20 GB",,"F","F","W","F","F","W","F","W","F","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","1_Training"
6799,"Audio & Hi-Fi:MP3-Player:Apple iPod:20 GB","APPLE  iPod  silver  20GB (3G : 20 GB)","",10,1,149,1.000000,0.000000,"N","N","N","Y","N","Y","N","N","N",1,130.900000,207.358000,0,2006-01-26,5534.428571,1,26,2006,"20 GB",,"F","F","W","F","F","W","F","W","F","F","F","F","F","F","W","F","F","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","1_Training"
13959,"Audio & Hi-Fi:MP3-Player:Apple iPod:20 GB","APPLE  iPOD 20GB; PHOTO; FARBDISPLAY;GARANTIE;  ZUBEHÖR","",7,1,70,1.000000,0.000000,"N","Y","N","Y","N","Y","N","N","N",1,251.010000,207.358000,1,2006-01-11,5532.285714,1,11,2006,"20 GB",,"F","F","W","F","F","W","F","W","F","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","W","F","F","F","W","W","F","F","F","F","F","F","F","1_Training"
13783,"Audio & Hi-Fi:MP3-Player:Apple iPod:20 GB","Apple - ipod  Video 60 GB - schwarz  // NEU/OVP !","",3,1,2046,1.000000,0.000000,"N","N","N","N","N","N","N","N","N",1,396.510000,207.358000,1,2006-01-07,5531.714286,1,7,2006,"20 GB",,"F","F","W","F","F","W","F","W","F","F","F","F","F","F","W","F","F","F","W","F","W","W","F","F","F","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","1_Training"
13924,"Audio & Hi-Fi:MP3-Player:Apple iPod:20 GB","Apple - ipod  Video 60 GB - schwarz  // NEU/OVP !","",3,1,2083,1.000000,0.000000,"N","N","N","N","N","N","N","N","N",1,382.000000,207.358000,1,2006-01-10,5532.142857,1,10,2006,"20 GB",,"F","F","W","F","F","W","F","W","F","F","F","F","F","F","W","F","F","F","W","F","W","W","F","F","F","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","1_Training"
